idema,nombre,provincia,altitud,lat,lon,noches,h20_mediana,h20_peor,h20_mejor,h18_mediana,h18_peor,noches_sin_alivio,cruce_20_tipico,nunca_cruza
1135C,"LOS TOJOS, BÁRCENA MAYOR",CANTABRIA,460,43.14694444444444,-4.214166666666667,20,9.0,9,9,9.0,7,0,23,0
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",CANTABRIA,1910,43.155,-4.803055555555555,18,9.0,9,9,9.0,4,0,23,0
1541B,VILLABLINO,LEON,958,42.928888888888885,-6.333888888888889,21,9,9,9,9,9,0,23,0
1542,PUERTO DE LEITARIEGOS,ASTURIAS,1530,42.994166666666665,-6.4141666666666675,20,9.0,9,9,9.0,1,0,23,0
1696O,BEARIZ,OURENSE,610,42.46805555555556,-8.278055555555556,23,9,9,9,9,5,0,23,0
2766E,"SANABRIA, ROBLEDA-CERVANTES",ZAMORA,933,42.0825,-6.639722222222222,23,9,9,9,9,9,0,23,0
2873X,BARBADILLO,SALAMANCA,817,40.90361111111111,-5.779722222222222,14,9.0,9,9,9.0,6,0,23,0
2930Y,NAVASFRÍAS,SALAMANCA,880,40.29666666666667,-6.812777777777778,22,9.0,9,9,9.0,6,0,23,0
3104Y,RASCAFRÍA,MADRID,1159,40.88972222222222,-3.888333333333333,22,9.0,9,9,9.0,7,0,23,0
5511,"PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA",GRANADA,3092,37.06444444444444,-3.3713888888888888,22,9.0,9,9,9.0,9,0,23,0
5516D,SIERRA NEVADA 'RADIOTELESCOPIO',GRANADA,2856,37.06305555555555,-3.3869444444444445,23,9,9,9,9,9,0,23,0
6299I,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2300,37.09583333333334,-2.9644444444444447,22,9.0,9,9,9.0,6,0,23,0
9195C,"ASTÚN, LA RACA",HUESCA,2276,42.793055555555554,-0.5052777777777778,23,9,9,9,9,4,0,23,0
9585,LA MOLINA,GIRONA,1699,42.3325,1.9394444444444445,23,9,9,9,9,7,0,23,0
9590D,CAP DE REC,LLEIDA,1940,42.430277777777775,1.6674999999999998,23,9,9,9,9,9,0,23,0
9677,PORT AINÉ,LLEIDA,2410,42.41,1.2147222222222223,23,9,9,9,9,9,0,23,0
9744B,VALL DE BOÍ,LLEIDA,1089,42.50333333333333,0.7988888888888889,23,9,9,9,9,9,0,23,0
9838B,BENASQUE,HUESCA,1120,42.599444444444444,0.5205555555555557,23,9,9,9,9,8,0,23,0
9839V,"CERLER, COGULLA",HUESCA,2374,42.555,0.5430555555555555,23,9,9,9,9,9,0,23,0
9988B,CAP DE VAQUÈIRA,LLEIDA,2467,42.69194444444444,0.9738888888888889,23,9,9,9,9,9,0,23,0
C430E,IZAÑA,SANTA CRUZ DE TENERIFE,2369,28.308333333333334,-16.499722222222225,21,9,9,9,9,3,0,23,0
3319D,PUERTO DEL PICO,AVILA,1285,40.33972222222222,-5.012777777777778,18,9.0,9,9,9.0,9,0,23,0
0312X,SANT PAU DE SEGÚRIES,GIRONA,851,42.25833333333333,2.3644444444444446,21,9,8,9,9,4,0,23,0
1152C,SAN FELICES DE BUELNA,CANTABRIA,105,43.27194444444444,-4.048611111111111,20,9.0,8,9,9.0,0,0,23,0
1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100,43.14388888888889,-4.812777777777778,16,9.0,8,9,9.0,0,0,23,0
1276F,POLA DE SOMIEDO,ASTURIAS,670,43.1,-6.256944444444445,19,9,8,9,9,6,0,23,0
1344X,MONDOÑEDO,LUGO,125,43.43138888888889,-7.361666666666666,23,9,8,9,9,0,0,23,0
1410X,SOBRADO,A CORUÑA,500,43.03777777777778,-8.022222222222224,23,9,8,9,9,5,0,23,0
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,1960,40.355000000000004,-5.69,23,9,8,9,9,0,0,23,0
2624C,RIAÑO,LEON,1090,42.958333333333336,-5.0075,23,9,8,9,9,5,0,23,0
2701D,"BARRIOS DE LUNA, MIÑERA",LEON,1120,42.885555555555555,-5.870833333333334,23,9,8,9,9,1,0,23,0
2828Y,BARCO DE AVILA,AVILA,1012,40.35527777777778,-5.519166666666667,23,9,8,9,9,6,0,23,0
9016X,"VALDERREDIBLE, CUBILLO DE EBRO",CANTABRIA,770,42.80972222222222,-4.032222222222222,13,9,8,9,9,7,0,23,0
9453X,"BIESCAS, EMBALSE DE BÚBAL",HUESCA,1100,42.69916666666666,-0.3188888888888889,14,9.0,8,9,9.0,6,0,23,0
9590,MARTINET,LLEIDA,1038,42.36222222222222,1.6933333333333334,23,9,8,9,9,6,0,23,0
9632X,TUIXENT,LLEIDA,1196,42.23027777777778,1.5694444444444444,23,9,8,9,9,4,0,23,0
9994X,BOSSÒST,LLEIDA,722,42.77611111111111,0.6897222222222222,22,9.0,8,9,9.0,2,0,23,0
1505,LUGO AEROPUERTO,LUGO,442,43.111111111111114,-7.4575000000000005,22,9.0,8,9,9.0,1,0,23,0
2084Y,UCERO,SORIA,960,41.721944444444446,-3.0469444444444442,19,9,8,9,9,7,0,23,0
0320I,PLANOLES,GIRONA,1151,42.316944444444445,2.102777777777778,22,9.0,7,9,9.0,0,0,23,0
0324A,RIPOLL,GIRONA,675,42.19138888888889,2.196111111111111,23,9,7,9,9,3,0,23,0
1178Y,"POSADA DE VALDEÓN, SOTO",LEON,953,43.14527777777778,-4.931666666666667,19,9,7,9,9,6,0,23,0
1226X,"ALLER, FELECHOSA",ASTURIAS,750,43.09527777777778,-5.476944444444444,22,9.0,7,9,9.0,6,0,23,0
1363X,AS PONTES,A CORUÑA,343,43.44583333333333,-7.8613888888888885,23,9,7,9,9,0,0,23,0
1390X,"CARBALLO, DEPURADORA",A CORUÑA,98,43.203611111111115,-8.71111111111111,22,9.0,7,9,9.0,0,0,23,0
1521I,O PÁRAMO,LUGO,403,42.84527777777778,-7.499444444444444,22,9.0,7,9,8.5,0,0,23,0
2005Y,"VINUESA, QUINTANAREJO",SORIA,1197,41.967777777777776,-2.7827777777777776,19,9,7,9,9,1,0,23,0
2048A,MORÓN DE ALMAZÁN,SORIA,978,41.419444444444444,-2.4202777777777778,22,9.0,7,9,9.0,6,0,23,0
2298,PALACIOS DE LA SIERRA,BURGOS,1080,41.959722222222226,-3.131666666666667,23,9,7,9,9,2,0,23,0
2742R,BUSTILLO DEL PÁRAMO,LEON,850,42.46638888888889,-5.779722222222222,23,9,7,9,9,1,0,23,0
3013,MOLINA DE ARAGÓN,GUADALAJARA,1062,40.84166666666667,-1.8788888888888888,23,9,7,9,9,6,0,23,0
5103E,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA",GRANADA,2152,37.15833333333333,-3.2569444444444446,23,9,7,9,9,0,0,23,0
8210Y,SALVACAÑETE,CUENCA,1160,40.10305555555556,-1.503611111111111,23,9,7,9,9,6,0,23,0
9287A,SAN PEDRO MANRIQUE,SORIA,1096,42.02638888888889,-2.2308333333333334,20,9.0,7,9,9.0,5,0,23,0
9657X,ESTERRI D'ÀNEU,LLEIDA,952,42.625,1.126111111111111,22,9.0,7,9,9.0,3,0,23,0
9689X,TORRE DE CABDELLA,LLEIDA,1273,42.46638888888889,0.9908333333333332,22,9.0,7,9,9.0,0,0,23,0
9726E,LLORAC,TARRAGONA,657,41.55722222222222,1.3094444444444444,17,9,7,9,9,1,0,23,0
9784P,BIELSA,HUESCA,992,42.63,0.22472222222222224,23,9,7,9,9,5,0,23,0
1302F,DEGAÑA,ASTURIAS,1310,42.95527777777778,-6.4725,13,9,7,9,9,6,0,23,0
1186P,"AMIEVA, PANIZALES",ASTURIAS,370,43.266666666666666,-5.119166666666667,19,9,6,9,9,0,0,23,0
1279X,"SALAS, CAMUÑO",ASTURIAS,240,43.425,-6.230833333333334,15,9,6,9,9,0,0,23,0
1399,VIMIANZO,A CORUÑA,287,43.0575,-9.046944444444444,23,9,6,9,9,0,0,23,0
1561I,VEGA DE ESPINAREDA,LEON,770,42.76611111111111,-6.673611111111112,23,9,6,9,8,0,0,23,0
2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",SORIA,1260,41.99583333333334,-2.4941666666666666,22,9.0,6,9,9.0,1,0,23,0
