indicativo,nombre,provincia,altitud,temporadas,calefaccion_mediana,calefaccion_peor,calefaccion_peor_temporada,calefaccion_mejor,calefaccion_ultima,terraza_mediana,terraza_peor,terraza_mejor,racha_sin_terraza_max,racha_terraza_max,heladas_mediana,heladas_peor,temporadas_sin_helada,racha_heladas_max,lluvia_mediana,tmin_p05_peor,tmin_min,tmin_min_fecha,calefaccion_fuera_nucleo,calefaccion_total
0009X,ALFORJA,TARRAGONA,406,9,134.0,147,2021-22,122,134,30.0,18,52,78,14,5.0,14,1,8,23.0,-1.0,-2.8,2022-01-23,467,1213
0016A,REUS AEROPUERTO,TARRAGONA,71,9,132.0,142,2018-19,118,125,59.0,47,75,47,17,7.0,22,0,11,17.0,-2.0,-5.1,2021-01-06,420,1180
0016B,REUS (CENTRE LECTURA),TARRAGONA,118,9,85.0,114,2017-18,65,85,55.0,41,89,47,22,0.0,0,9,0,16.0,3.1,0.9,2026-01-05,212,771
0034X,VALLS,TARRAGONA,233,9,138.0,143,2018-19,129,137,46.0,30,63,57,25,7.0,12,0,6,21.0,-1.2,-3.5,2025-01-15,452,1223
0042Y,TARRAGONA ,TARRAGONA,55,9,113.0,129,2017-18,98,115,58.0,49,82,29,19,1.0,2,4,2,22.0,1.2,-1.4,2026-01-07,326,1021
0061X,PONTONS,BARCELONA,632,9,144.0,149,2025-26,138,149,15.0,10,34,111,11,16.0,29,0,11,21.0,-2.6,-4.4,2021-01-06,505,1297
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,177,9,139.0,144,2017-18,130,138,46.0,33,77,57,21,16.0,23,0,16,16.0,-1.8,-4.6,2023-01-23,459,1237
0073X,SITGES,BARCELONA,58,9,112.0,134,2018-19,105,119,33.0,18,53,59,18,0.0,1,7,1,19.0,2.2,-1.8,2023-01-22,336,1046
0076,BARCELONA AEROPUERTO,BARCELONA,4,9,108.0,127,2017-18,98,108,37.0,27,44,59,18,0.0,1,7,1,19.0,1.9,-0.8,2023-01-22,290,994
0092X,BERGA,BARCELONA,682,9,149.0,152,2019-20,146,150,9.0,4,35,141,12,31.0,54,0,18,24.0,-3.5,-6.6,2026-01-07,534,1341
0106X,BALSARENY,BARCELONA,361,9,149.0,151,2018-19,142,142,23.0,14,52,98,24,60.0,94,0,25,19.0,-6.7,-9.5,2021-01-06,521,1331
0114X,PRATS DE LLUÇANÈS,BARCELONA,700,9,150.0,152,2023-24,148,150,11.0,4,34,120,12,57.0,97,0,24,22.0,-6.3,-10.1,2018-02-27,538,1348
0120X,MOIÀ,BARCELONA,742,9,144.0,151,2019-20,134,134,9.0,3,26,121,7,21.0,43,0,16,23.0,-3.1,-5.9,2026-01-07,506,1298
0149D,MANRESA (LA CULLA),BARCELONA,291,7,145.0,148,2017-18,108,108,38.0,17,53,93,17,26.0,57,0,15,19.0,-3.6,-6.0,2023-01-21,381,976
0149X,MANRESA,BARCELONA,291,9,146.0,148,2017-18,137,146,33.0,15,52,93,17,29.0,64,0,20,19.0,-4.2,-6.2,2022-01-16,500,1299
0158O,MONTSERRAT,BARCELONA,738,9,141.0,146,2017-18,117,143,2.0,1,11,150,3,9.0,24,0,17,21.0,-2.7,-6.7,2026-01-07,463,1238
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738,9,140.0,146,2017-18,122,140,3.0,1,12,150,3,6.0,26,0,14,22.0,-2.5,-6.1,2026-01-07,459,1241
0171X,IGUALADA,BARCELONA,313,8,143.0,146,2018-19,136,143,33.0,14,56,70,17,14.0,31,0,18,18.0,-2.5,-4.4,2022-01-23,434,1142
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,647,9,138.0,146,2021-22,120,142,14.0,2,32,109,9,5.0,20,1,12,23.0,-1.7,-4.5,2018-02-27,466,1224
0200E,"BARCELONA, FABRA",BARCELONA,408,9,117.0,131,2017-18,100,117,27.0,14,61,63,17,1.0,5,4,3,22.0,0.7,-2.4,2018-02-27,354,1049
0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26,8,87.5,106,2017-18,69,77,31.5,16,41,46,17,0.0,0,8,0,19.5,3.9,0.1,2018-02-28,197,706
0201X,"BARCELONA, DRASSANES",BARCELONA,11,8,59.5,98,2017-18,49,62,37.5,26,62,57,18,0.0,0,8,0,20.0,3.5,1.3,2018-02-28,109,525
0222X,CALDES DE MONTBUI,BARCELONA,175,9,142.0,147,2017-18,135,141,39.0,27,69,52,15,23.0,41,0,17,19.0,-3.3,-6.6,2023-01-22,484,1280
0244X,VILASSAR DE DALT,BARCELONA,56,8,99.5,129,2017-18,89,97,47.0,23,62,49,17,0.0,0,8,0,21.0,2.5,0.0,2018-02-27,232,819
0252D,ARENYS DE MAR,BARCELONA,74,7,119.0,133,2017-18,111,112,52.0,29,66,41,21,0.0,3,5,2,17.0,1.3,-1.3,2018-02-27,267,839
0260X,FOGARS DE MONTCLÚS,BARCELONA,936,9,145.0,147,2017-18,135,147,9.0,3,32,106,5,13.0,31,0,12,30.0,-3.3,-5.4,2018-02-13,504,1283
0281Y,BLANES,GIRONA,45,9,92.0,119,2017-18,83,89,32.0,20,51,60,24,0.0,0,9,0,22.0,2.3,0.0,2023-01-23,259,873
0284X,CASTELL D'ARO,GIRONA,14,9,133.0,143,2017-18,127,129,30.0,19,48,60,12,7.0,19,0,7,20.0,-1.2,-3.4,2026-01-07,421,1198
0294B,LA BISBAL (D'EMPORDA 3),GIRONA,51,9,136.0,142,2017-18,104,104,46.0,30,70,51,13,11.0,23,0,7,23.0,-2.0,-3.8,2026-01-07,435,1191
0312X,SANT PAU DE SEGÚRIES,GIRONA,851,9,150.0,152,2023-24,129,129,6.0,1,23,113,4,82.0,113,0,36,26.0,-7.2,-10.8,2021-01-06,536,1327
0320I,PLANOLES,GIRONA,1151,9,150.0,152,2019-20,127,127,11.0,5,24,93,7,51.0,90,0,19,25.0,-5.5,-9.5,2018-02-08,536,1322
