indicativo,temporada,nombre,provincia,altitud,dias_tmin,dias_tmax,noches_calefaccion,noches_frias,heladas,heladas_fuertes,calefaccion_nucleo,heladas_nucleo,dias_terraza,dias_terraza_20,dias_lluvia,racha_terraza,racha_sin_terraza,racha_heladas,tmin_p05,tmin_min,tmin_min_fecha,tmax_max,tmax_max_fecha
0002I,2017-18,VANDELLÒS  ,TARRAGONA,32,147,147,123,25,0,0,75,0,34,12,19,4,22,0,3.6,0.5,2018-02-28,22.6,2018-03-28
0002I,2018-19,VANDELLÒS  ,TARRAGONA,32,151,151,113,12,0,0,75,0,41,16,14,7,43,0,4.6,3.0,2019-01-11,25.1,2019-03-10
0009X,2017-18,ALFORJA,TARRAGONA,406,150,150,139,85,11,0,83,11,20,5,21,5,39,3,-0.2,-1.5,2018-02-08,23.5,2018-03-28
0009X,2018-19,ALFORJA,TARRAGONA,406,151,151,141,71,5,0,88,5,30,15,20,7,78,2,0.6,-1.4,2019-01-11,24.1,2019-02-27
0009X,2019-20,ALFORJA,TARRAGONA,406,151,151,132,55,2,0,78,2,29,9,31,5,31,1,0.9,-0.7,2020-01-02,23.6,2019-11-02
0009X,2020-21,ALFORJA,TARRAGONA,406,144,144,138,64,9,0,79,9,34,11,26,6,26,8,-0.4,-2.3,2021-01-06,25.1,2020-11-01
0009X,2021-22,ALFORJA,TARRAGONA,406,151,151,147,79,8,0,87,8,18,8,23,7,50,4,-0.1,-2.8,2022-01-23,22.7,2022-01-02
0009X,2022-23,ALFORJA,TARRAGONA,406,150,150,129,73,14,0,83,12,52,37,14,14,43,5,-1.0,-1.3,2023-01-23,26.9,2023-03-30
0009X,2023-24,ALFORJA,TARRAGONA,406,138,138,122,46,0,0,79,0,42,21,22,6,20,0,1.4,0.5,2023-12-28,27.4,2024-03-22
0009X,2024-25,ALFORJA,TARRAGONA,406,150,150,131,55,5,0,86,5,26,7,34,5,35,4,0.8,-2.7,2025-01-15,24.8,2025-03-31
0009X,2025-26,ALFORJA,TARRAGONA,406,148,148,134,61,2,0,83,2,33,12,38,5,33,2,1.3,-1.8,2026-01-05,23.2,2025-11-01
0016A,2017-18,REUS AEROPUERTO,TARRAGONA,71,151,151,136,84,15,1,82,14,52,24,18,9,19,4,-0.8,-3.4,2018-02-09,24.6,2018-03-28
0016A,2018-19,REUS AEROPUERTO,TARRAGONA,71,151,151,142,82,7,0,90,7,59,23,12,8,18,4,0.1,-2.7,2019-01-11,26.3,2019-03-17
0016A,2019-20,REUS AEROPUERTO,TARRAGONA,71,152,152,132,55,7,0,82,7,55,25,20,8,33,4,0.1,-1.7,2020-01-04,25.9,2019-11-02
0016A,2020-21,REUS AEROPUERTO,TARRAGONA,71,150,150,136,47,12,2,86,12,57,22,15,15,30,5,-1.1,-5.1,2021-01-06,24.7,2021-01-28
0016A,2021-22,REUS AEROPUERTO,TARRAGONA,71,151,151,136,65,17,1,85,17,47,16,10,7,22,6,-1.3,-3.4,2022-01-16,23.0,2021-11-01
0016A,2022-23,REUS AEROPUERTO,TARRAGONA,71,151,151,124,68,22,2,87,18,66,41,11,17,23,11,-2.0,-4.0,2023-01-23,27.4,2023-03-31
0016A,2023-24,REUS AEROPUERTO,TARRAGONA,71,152,152,131,54,6,0,86,6,75,34,17,15,11,3,0.5,-2.4,2024-01-13,27.0,2023-11-14
0016A,2024-25,REUS AEROPUERTO,TARRAGONA,71,150,150,118,52,4,0,81,4,63,27,22,9,10,3,0.5,-2.9,2025-01-14,26.7,2025-03-31
0016A,2025-26,REUS AEROPUERTO,TARRAGONA,71,151,151,125,38,2,0,81,2,59,34,28,17,47,2,2.2,-2.6,2026-01-06,23.5,2026-03-31
0016B,2017-18,REUS (CENTRE LECTURA),TARRAGONA,118,151,151,114,23,0,0,73,0,48,17,22,8,35,0,3.1,1.2,2018-02-28,24.4,2018-03-28
0016B,2018-19,REUS (CENTRE LECTURA),TARRAGONA,118,151,151,107,13,0,0,77,0,57,28,10,9,18,0,4.4,2.1,2019-01-11,26.0,2019-03-10
0016B,2019-20,REUS (CENTRE LECTURA),TARRAGONA,118,152,152,78,7,0,0,51,0,56,26,24,9,32,0,5.2,3.7,2020-01-01,25.8,2019-11-02
0016B,2020-21,REUS (CENTRE LECTURA),TARRAGONA,118,151,151,85,14,0,0,62,0,54,22,18,14,35,0,3.7,1.8,2021-01-11,25.5,2020-11-01
0016B,2021-22,REUS (CENTRE LECTURA),TARRAGONA,118,151,151,96,6,0,0,66,0,41,17,15,9,30,0,5.2,3.8,2022-01-06,22.5,2022-01-01
0016B,2022-23,REUS (CENTRE LECTURA),TARRAGONA,118,151,151,76,15,0,0,64,0,72,44,11,17,18,0,3.3,2.0,2023-03-01,27.0,2023-03-31
0016B,2023-24,REUS (CENTRE LECTURA),TARRAGONA,118,152,152,65,3,0,0,48,0,89,45,16,22,10,0,6.5,4.6,2024-01-13,26.8,2023-11-14
0016B,2024-25,REUS (CENTRE LECTURA),TARRAGONA,118,120,120,65,3,0,0,60,0,48,26,11,11,11,0,6.0,3.3,2025-01-14,23.7,2024-11-05
0016B,2025-26,REUS (CENTRE LECTURA),TARRAGONA,118,151,151,85,6,0,0,58,0,55,33,26,17,47,0,6.0,0.9,2026-01-05,23.6,2025-11-01
0034X,2017-18,VALLS,TARRAGONA,233,150,150,139,92,10,0,85,10,33,13,21,5,35,3,-0.8,-2.6,2018-02-09,25.4,2018-03-28
0034X,2018-19,VALLS,TARRAGONA,233,151,151,143,90,6,0,88,6,48,26,14,12,32,3,0.5,-1.8,2019-02-17,25.9,2019-03-10
0034X,2019-20,VALLS,TARRAGONA,233,152,152,138,56,7,0,86,6,46,22,21,7,34,5,0.4,-1.7,2020-01-13,25.3,2019-11-02
0034X,2020-21,VALLS,TARRAGONA,233,151,151,139,64,5,0,86,5,47,16,23,12,57,3,0.8,-2.7,2021-01-05,25.4,2020-11-01
