indicativo,nombre,provincia,altitud_m,anio,dias_con_dato,noches_trop,noches_trop_jja,noches_ecua,noches_sobre_22,racha_max,tmin_minima,tmin_minima_fecha,tmin_maxima,tmin_maxima_fecha,tmin_p95,primera_trop,ultima_trop
0002I,VANDELLÒS,TARRAGONA,32.0,2018,363,79,64,4,37,24,0.5,2018-02-28,26.1,2018-08-08,22.8,2018-06-22,2018-09-22
0002I,VANDELLÒS,TARRAGONA,32.0,2019,364,69,60,2,29,16,3.0,2019-01-11,25.5,2019-08-10,22.8,2019-06-25,2019-10-13
0009X,ALFORJA,TARRAGONA,406.0,2017,365,5,5,0,0,3,-3.8,2017-01-18,21.8,2017-07-13,18.8,2017-07-13,2017-08-07
0009X,ALFORJA,TARRAGONA,406.0,2018,362,7,6,0,3,2,-1.5,2018-02-08,22.9,2018-08-08,18.5,2018-07-29,2018-09-03
0009X,ALFORJA,TARRAGONA,406.0,2019,364,4,4,0,1,2,-1.4,2019-01-11,22.7,2019-08-10,18.1,2019-08-07,2019-08-18
0009X,ALFORJA,TARRAGONA,406.0,2020,357,4,4,0,0,1,-0.7,2020-01-02,20.5,2020-08-22,18.3,2020-08-08,2020-08-22
0009X,ALFORJA,TARRAGONA,406.0,2021,307,1,1,0,0,1,-2.3,2021-01-06,21.2,2021-08-15,18.0,2021-08-15,2021-08-15
0009X,ALFORJA,TARRAGONA,406.0,2022,360,10,8,0,0,2,-2.8,2022-01-23,21.8,2022-09-05,19.7,2022-06-20,2022-09-05
0009X,ALFORJA,TARRAGONA,406.0,2023,351,15,14,0,5,4,-1.3,2023-01-23,22.6,2023-07-15,19.8,2023-07-14,2023-09-04
0009X,ALFORJA,TARRAGONA,406.0,2024,333,3,3,0,0,1,-0.5,2024-12-31,20.5,2024-08-13,18.6,2024-07-19,2024-08-28
0009X,ALFORJA,TARRAGONA,406.0,2025,365,13,13,0,1,4,-2.7,2025-01-15,22.7,2025-08-11,19.4,2025-07-01,2025-08-18
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2017,365,59,57,0,30,16,-5.3,2017-01-18,24.5,2017-08-07,22.7,2017-06-15,2017-09-06
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2018,365,60,54,3,23,22,-3.4,2018-02-09,25.7,2018-08-08,22.2,2018-06-23,2018-09-15
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2019,365,42,40,0,20,11,-2.7,2019-01-11,24.7,2019-08-07,22.2,2019-06-29,2019-09-02
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2020,366,36,36,0,10,9,-1.7,2020-01-04,23.2,2020-08-26,21.5,2020-06-28,2020-08-27
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2021,364,40,30,0,5,6,-5.1,2021-01-06,23.3,2021-08-23,21.3,2021-06-19,2021-09-25
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2022,365,57,48,0,25,18,-3.4,2022-01-16,24.1,2022-07-29,22.4,2022-06-18,2022-09-13
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2023,365,57,51,0,33,19,-4.0,2023-01-23,24.5,2023-07-15,23.3,2023-06-17,2023-09-17
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2024,365,47,45,0,12,18,-2.4,2024-01-13,23.1,2024-08-13,21.7,2024-06-08,2024-09-08
0016A,REUS AEROPUERTO,TARRAGONA,71.0,2025,364,77,65,2,30,23,-2.9,2025-01-14,25.7,2025-07-19,22.7,2025-06-08,2025-09-28
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2017,365,71,67,3,53,18,0.2,2017-01-18,25.8,2017-08-03,23.3,2017-06-03,2017-09-08
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2018,365,92,69,7,51,32,1.2,2018-02-28,27.8,2018-08-05,23.5,2018-06-19,2018-09-30
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2019,365,76,63,0,45,18,2.1,2019-01-11,25.0,2019-07-23,23.5,2019-06-25,2019-10-13
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2020,366,77,61,4,50,23,3.7,2020-01-01,25.6,2020-08-01,24.3,2020-05-02,2020-09-24
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2021,352,70,52,0,44,14,1.8,2021-01-11,24.7,2021-08-14,23.2,2021-06-27,2021-09-28
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2022,364,113,82,20,73,42,3.0,2022-04-03,27.3,2022-08-14,25.1,2022-05-19,2022-10-23
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2023,365,100,70,12,61,24,2.0,2023-03-01,27.9,2023-08-22,24.6,2023-06-09,2023-10-18
0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,2024,366,72,65,8,52,22,4.6,2024-01-13,26.6,2024-08-01,24.4,2024-06-07,2024-10-16
