indicativo,nombre,provincia,altitud_m,anios,noches_trop_peor_anio,peor_anio,noches_trop_mejor_anio,noches_trop_ultimo_anio,noches_trop_anio_medio,racha_max_historica,racha_max_en_un_anio,noches_ecua_peor_anio,tmin_p95,peor_noche,peor_noche_fecha,noche_mas_fria,noches_fuera_jja_anio
0324A,RIPOLL,GIRONA,675.0,7,0,2017,0,0,0.0,0,0,0,17.7,20.0,2023-07-12,-8.9,0.0
0321,CAMPDEVANOL,GIRONA,731.0,8,0,2017,0,0,0.0,0,0,0,17.4,19.8,2023-07-16,-9.2,0.0
0360X,LES PLANES D'HOSTOLES,GIRONA,337.0,9,0,2017,0,0,0.0,0,0,0,17.0,19.9,2021-08-23,-9.4,0.0
9839V,"CERLER, COGULLA",HUESCA,2374.0,6,0,2020,0,0,0.0,0,0,0,12.8,17.1,2025-08-10,-17.7,0.0
9838B,BENASQUE,HUESCA,1120.0,9,0,2017,0,0,0.0,0,0,0,13.0,17.6,2019-08-10,-17.3,0.0
9814X,TORLA - ORDESA,HUESCA,1076.0,9,0,2017,0,0,0.0,0,0,0,16.4,19.7,2022-06-17,-10.3,0.0
9814I,"TORLA-ORDESA, EL CEBOLLAR",HUESCA,1905.0,6,0,2020,0,0,0.0,0,0,0,15.4,19.1,2021-08-13,-13.8,0.0
0312X,SANT PAU DE SEGÚRIES,GIRONA,851.0,9,0,2017,0,0,0.0,0,0,0,15.7,18.8,2020-08-22,-10.8,0.0
9843A,SEIRA,HUESCA,825.0,9,0,2017,0,0,0.0,0,0,0,16.5,19.0,2024-08-07,-10.3,0.0
9001D,REINOSA,CANTABRIA,870.0,9,0,2017,0,0,0.0,0,0,0,13.7,17.5,2019-08-08,-17.5,0.0
1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,1100.0,9,0,2017,0,0,0.0,0,0,0,14.9,19.5,2022-07-17,-8.6,0.0
1135C,"LOS TOJOS, BÁRCENA MAYOR",CANTABRIA,460.0,9,0,2017,0,0,0.0,0,0,0,15.4,18.3,2022-08-03,-6.4,0.0
9001S,ALTO CAMPOO,CANTABRIA,1650.0,9,0,2017,0,0,0.0,0,0,0,14.0,19.3,2023-08-23,-13.1,0.0
9027X,SARGENTES DE LA LORA,BURGOS,1017.0,6,0,2017,0,0,0.0,0,0,0,14.5,18.1,2020-08-07,-10.6,0.0
