rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmin_media_verano,noches_trop_anio,noches_ecua_anio,tmin_tendencia,tmin_esperada,residual,score_refugio_noche
1,3044X,CAÑIZARES,CUENCA,928.000,40.530,-2.150,5.000,12.238,0.000,0.000,-0.159,14.830,-2.592,-6.855
2,0255B,SANTA SUSANNA,BARCELONA,40.000,41.651,2.697,5.000,17.094,8.800,0.000,-0.106,19.762,-2.667,-5.819
3,9660,SANT MAURICI (LLAC),LLEIDA,1907.000,42.581,1.008,8.000,9.856,0.000,0.000,-0.158,10.438,-0.582,-5.609
4,2192C,CUÉLLAR,SEGOVIA,795.000,41.384,-4.266,10.000,9.510,0.200,0.000,0.094,14.083,-4.573,-4.709
5,C656V,TEROR,LAS PALMAS,683.000,28.075,-15.547,10.000,14.693,4.000,0.100,0.067,18.885,-4.192,-4.675
6,3319D,PUERTO DEL PICO,AVILA,1285.000,40.340,-5.013,10.000,6.677,0.000,0.000,0.149,12.345,-5.668,-4.664
7,C468X,SAN JUAN DE LA RAMBLA,SANTA CRUZ DE TENERIFE,667.000,28.373,-16.626,7.000,14.687,4.857,0.429,0.048,18.367,-3.680,-4.572
8,2737E,LAGUNAS DE SOMOZA,LEON,1020.000,42.377,-6.197,8.000,10.528,0.000,0.000,-0.048,11.760,-1.232,-4.550
9,9287A,SAN PEDRO MANRIQUE,SORIA,1096.000,42.026,-2.231,10.000,9.931,0.000,0.000,0.060,13.118,-3.187,-4.314
10,2084Y,UCERO,SORIA,960.000,41.722,-3.047,10.000,9.606,0.000,0.000,0.105,13.601,-3.995,-4.212
11,9027X,SARGENTES DE LA LORA,BURGOS,1017.000,42.747,-3.884,6.000,10.470,0.000,0.000,0.017,12.391,-1.921,-4.105
12,0360X,LES PLANES D'HOSTOLES,GIRONA,337.000,42.053,2.551,10.000,14.545,0.000,0.000,0.098,18.162,-3.617,-4.071
13,C457I,LA VICTORIA DE ACENTEJO,SANTA CRUZ DE TENERIFE,567.000,28.434,-16.454,10.000,15.048,2.800,0.000,0.102,18.825,-3.777,-4.001
14,1696O,BEARIZ,OURENSE,610.000,42.468,-8.278,10.000,9.870,0.000,0.000,0.068,12.714,-2.843,-3.996
15,3104Y,RASCAFRÍA,MADRID,1159.000,40.890,-3.888,10.000,9.285,0.000,0.000,0.113,12.956,-3.672,-3.905
16,9744B,VALL DE BOÍ,LLEIDA,1089.000,42.503,0.799,10.000,10.367,0.000,0.000,0.112,13.963,-3.596,-3.873
17,0171X,IGUALADA,BARCELONA,313.000,41.579,1.618,10.000,17.400,12.000,0.000,-0.053,18.224,-0.824,-3.844
18,C317B,AGULO,STA. CRUZ DE TENERIFE,765.000,28.179,-17.213,10.000,15.457,5.900,0.100,0.040,17.848,-2.391,-3.835
19,B362X,"CAMPOS, CAN SION",ILLES BALEARS,40.000,39.406,3.064,10.000,17.719,18.900,0.300,0.057,21.328,-3.609,-3.805
20,8210Y,SALVACAÑETE,CUENCA,1160.000,40.103,-1.504,9.000,11.106,0.000,0.000,0.104,14.334,-3.227,-3.762
21,2930Y,NAVASFRÍAS,SALAMANCA,880.000,40.297,-6.813,10.000,9.189,0.000,0.000,0.153,13.466,-4.277,-3.755
22,9238X,NAVASCUÉS/NABASKOZE,NAVARRA,612.000,42.718,-1.117,10.000,11.608,0.300,0.000,0.120,15.190,-3.582,-3.748
23,9619,LA SEU D'URGELL,LLEIDA,677.000,42.355,1.463,7.000,13.211,0.000,0.000,0.091,16.091,-2.880,-3.710
24,C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,1070.000,27.769,-17.960,9.000,14.024,11.889,0.778,0.044,16.509,-2.485,-3.588
25,C928I,VALVERDE,STA. CRUZ DE TENERIFE,670.000,27.811,-17.919,7.000,16.147,5.143,0.143,0.049,18.235,-2.087,-3.570
26,9998X,BELLO,TERUEL,1006.000,40.921,-1.494,10.000,12.147,0.300,0.000,0.079,14.484,-2.337,-3.522
27,2828Y,BARCO DE AVILA,AVILA,1012.000,40.355,-5.519,10.000,10.404,0.000,0.000,0.109,13.333,-2.929,-3.500
28,9838B,BENASQUE,HUESCA,1120.000,42.599,0.521,10.000,10.223,0.000,0.000,0.134,13.664,-3.441,-3.487
29,B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,842.000,39.793,2.788,10.000,13.529,0.700,0.100,0.157,17.497,-3.968,-3.484
30,5858X,ALMONTE,HUELVA,5.000,36.989,-6.443,10.000,15.981,4.100,0.100,0.126,19.510,-3.529,-3.479
31,9990X,"NAUT ARAN, ARTIES",LLEIDA,1161.000,42.700,0.877,9.000,12.114,0.000,0.000,0.045,13.553,-1.439,-3.434
32,1021Y,ARTICUTZA (AUTOMATICA),NAVARRA,305.000,43.212,-1.798,9.000,13.867,0.000,0.000,0.077,15.956,-2.090,-3.412
33,2135A,FRESNO DE CANTESPINO,SEGOVIA,993.000,41.373,-3.507,10.000,11.519,0.500,0.000,0.072,13.510,-1.992,-3.396
34,9590,MARTINET,LLEIDA,1038.000,42.362,1.693,10.000,11.199,0.000,0.000,0.140,14.604,-3.405,-3.394
35,C018J,TÍAS,LAS PALMAS,376.000,28.970,-13.690,10.000,17.623,4.300,0.400,0.096,20.334,-2.711,-3.353
36,2867,SALAMANCA AEROPUERTO,SALAMANCA,790.000,40.959,-5.498,10.000,11.909,0.000,0.000,0.078,13.920,-2.011,-3.350
37,2048A,MORÓN DE ALMAZÁN,SORIA,978.000,41.419,-2.420,10.000,10.505,0.000,0.000,0.146,13.947,-3.441,-3.327
38,1700X,O CARBALLIÑO,OURENSE,400.000,42.421,-8.093,10.000,12.834,0.100,0.000,0.030,13.724,-0.889,-3.303
39,C148F,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,362.000,28.805,-17.782,10.000,17.764,3.200,0.200,0.037,18.989,-1.225,-3.281
40,3013,MOLINA DE ARAGÓN,GUADALAJARA,1062.000,40.842,-1.879,10.000,11.461,0.000,0.000,0.116,14.150,-2.689,-3.269
41,1387D,A CORUÑA BENS,A CORUÑA,132.000,43.363,-8.442,10.000,16.161,1.000,0.000,-0.101,14.158,2.003,-3.218
42,7067Y,NERPIO,ALBACETE,1485.000,38.088,-2.413,10.000,11.869,0.300,0.000,0.087,13.871,-2.002,-3.212
43,C447A,TENERIFE NORTE AEROPUERTO,SANTA CRUZ DE TENERIFE,632.000,28.477,-16.329,10.000,16.597,6.800,0.600,0.065,18.562,-1.965,-3.210
44,9019B,"VALDERREDIBLE, POLIENTES",CANTABRIA,720.000,42.806,-3.934,9.000,10.995,0.000,0.000,0.120,13.625,-2.630,-3.171
45,2766E,"SANABRIA, ROBLEDA-CERVANTES",ZAMORA,933.000,42.083,-6.640,10.000,7.744,0.000,0.000,0.207,12.162,-4.418,-3.120
46,C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",STA. CRUZ DE TENERIFE,868.000,28.526,-16.280,10.000,15.062,10.700,0.900,0.082,17.524,-2.462,-3.117
47,9091O,FORONDA-TXOKIZA,ARABA/ALAVA,513.000,42.882,-2.735,10.000,12.694,0.100,0.000,0.106,14.918,-2.224,-3.101
48,0312X,SANT PAU DE SEGÚRIES,GIRONA,851.000,42.258,2.364,10.000,12.592,0.000,0.000,0.151,15.730,-3.138,-3.076
49,8245Y,MIRA,CUENCA,815.000,39.714,-1.443,10.000,12.542,0.300,0.000,0.171,16.102,-3.560,-3.062
50,9632X,TUIXENT,LLEIDA,1196.000,42.230,1.569,10.000,11.807,0.100,0.000,0.107,13.956,-2.150,-3.054
51,0321,CAMPDEVANOL,GIRONA,731.000,42.223,2.167,8.000,13.990,0.000,0.000,0.111,16.201,-2.211,-3.042
52,C248E,ANTIGUA,LAS PALMAS,252.000,28.417,-14.019,10.000,18.502,10.800,0.900,0.094,21.103,-2.602,-3.038
