rank,indicativo,nombre,provincia,altitud_m,lat,lon,n_anios,tmax_media_verano,tmax_normal_verano,tmax_anomalia,tmax_tendencia,tmax_esperada,residual,score_refugio
1,5516D,SIERRA NEVADA 'RADIOTELESCOPIO',GRANADA,2856,37.063,-3.387,5.000,17.370,,,-0.193,26.590,-9.220,-6.340
2,9988B,CAP DE VAQUÈIRA,LLEIDA,2467,42.692,0.974,7.000,15.005,,,-0.079,26.825,-11.820,-6.015
3,0255B,SANTA SUSANNA,BARCELONA,40,41.651,2.697,5.000,27.902,,,-0.215,32.540,-4.638,-5.221
4,C468X,SAN JUAN DE LA RAMBLA,STA. CRUZ DE TENERIFE,667,28.373,-16.626,6.000,21.790,,,-0.140,28.310,-6.520,-5.057
5,B051A,"SÓLLER, PUERTO",BALEARES,5,39.796,2.691,6.000,29.288,,,-0.139,33.428,-4.140,-4.363
6,C928I,VALVERDE,STA. CRUZ DE TENERIFE,670,27.811,-17.919,6.000,21.691,,,-0.067,27.953,-6.261,-4.288
7,1351,ESTACA DE BARES,A CORUÑA,90,43.786,-7.685,9.000,20.725,,,-0.063,26.663,-5.938,-4.159
8,1393,CABO VILÁN,A CORUÑA,50,43.161,-9.211,9.000,20.204,,,-0.046,26.305,-6.101,-4.046
9,1387D,A CORUÑA BENS,A CORUÑA,132,43.363,-8.442,9.000,22.012,,,-0.089,26.422,-4.410,-3.961
10,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,28.090,-15.416,9.000,24.798,,,-0.058,30.121,-5.323,-3.931
11,B893,"MENORCA, AEROPUERTO",BALEARES,91,39.855,4.216,9.000,29.576,,,-0.085,33.953,-4.377,-3.916
12,8058X,OLIVA,VALENCIA,1,38.904,-0.065,6.000,28.912,,,-0.104,32.549,-3.637,-3.879
13,C939T,"FRONTERA, SABINOSA",STA. CRUZ DE TENERIFE,20,27.756,-18.108,9.000,25.938,,,-0.100,29.081,-3.143,-3.703
14,9677,PORT AINÉ,LLEIDA,2410,42.410,1.215,6.000,15.335,,,0.177,27.167,-11.832,-3.587
15,9990X,"NAUT ARAN, ARTIES ",LLEIDA,1161,42.700,0.877,9.000,26.619,,,-0.104,29.170,-2.551,-3.568
16,6268Y,"MOTRIL, PUERTO",GRANADA,3,36.724,-3.529,9.000,28.576,,,-0.079,31.904,-3.327,-3.555
17,C139E,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,33,28.633,-17.755,9.000,25.381,,,-0.069,28.831,-3.450,-3.496
18,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,43.306,-2.041,9.000,22.372,,,0.039,29.211,-6.839,-3.458
19,6332Y,CARBONERAS,ALMERIA,222,36.942,-1.907,5.000,29.856,,,-0.097,32.160,-2.304,-3.436
20,3044X,CAÑIZARES,CUENCA,928,40.530,-2.150,5.000,31.890,,,-0.223,29.155,2.735,-3.171
21,1212E,ASTURIAS AEROPUERTO,ASTURIAS,127,43.567,-6.044,9.000,21.823,,,0.034,27.457,-5.633,-3.150
22,C229J,PÁJARA,LAS PALMAS,15,28.049,-14.358,9.000,28.545,,,-0.066,30.705,-2.161,-3.092
23,B434X,PORTOCOLOM  ,ILLES BALEARS,17,39.414,3.272,9.000,29.244,,,0.011,33.846,-4.602,-3.076
24,C629X,"MOGÁN, PUERTO",LAS PALMAS,10,27.816,-15.764,9.000,27.676,,,-0.053,30.163,-2.488,-3.067
