indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,region,dia_mas_frio,dia_mas_calido,desfase_invierno_dias,desfase_verano_dias,desfase_invierno_tmin,desfase_verano_tmin,desfase_invierno_tmax,desfase_verano_tmax,verano_termico_ini,verano_termico_fin,verano_termico_dias,invierno_termico_ini,invierno_termico_fin,invierno_termico_dias,cuartil_calido_ini,cuartil_calido_fin,amplitud_anual_c,tmed_min_c,tmed_max_c,fuente
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55.0,28.0897,-15.4161,0.4,litoral,<200,canarias,12 de marzo,7 de septiembre,81,78,34,76,81,82,30 de junio,15 de noviembre,139,,,0,27 de julio,25 de octubre,5.54,18.66,24.19,AEMET
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15.0,28.1131,-15.4214,0.4,litoral,<200,canarias,26 de enero,5 de septiembre,36,76,37,76,35,77,7 de junio,16 de noviembre,163,,,0,24 de julio,22 de octubre,5.82,18.81,24.63,AEMET
C669B,ARUCAS,LAS PALMAS,86.0,28.1417,-15.5067,0.4,litoral,<200,canarias,27 de enero,5 de septiembre,37,76,52,58,35,100,24 de junio,28 de octubre,127,,,0,20 de julio,18 de octubre,5.85,17.84,23.69,AEMET
C929I,HIERRO AEROPUERTO,SANTA CRUZ DE TENERIFE,32.0,27.8189,-17.8889,0.2,litoral,<200,canarias,7 de febrero,5 de septiembre,48,76,53,76,34,76,5 de junio,17 de noviembre,166,,,0,24 de julio,22 de octubre,5.36,19.23,24.6,AEMET
C619Y,LA ALDEA DE SAN NICOLÁS,LAS PALMAS,13.0,28.0011,-15.8075,1.0,litoral,<200,canarias,15 de enero,3 de septiembre,25,74,12,56,29,93,19 de mayo,4 de noviembre,170,,,0,9 de julio,7 de octubre,7.49,17.7,25.19,AEMET
C328W,HERMIGUA,SANTA CRUZ DE TENERIFE,252.0,28.1636,-17.1942,1.6,litoral,200-500,canarias,24 de enero,1 de septiembre,34,72,48,58,33,70,23 de julio,5 de octubre,75,,,0,15 de julio,13 de octubre,6.3,16.33,22.63,AEMET
C458A,TACORONTE,SANTA CRUZ DE TENERIFE,310.0,28.4964,-16.42,0.4,litoral,200-500,canarias,6 de febrero,1 de septiembre,47,72,48,58,77,72,1 de agosto,5 de octubre,66,,,0,20 de julio,18 de octubre,5.91,16.62,22.52,AEMET
C619X,AGAETE,LAS PALMAS,5.0,28.1011,-15.7128,1.3,litoral,<200,canarias,25 de enero,1 de septiembre,35,72,48,72,35,67,6 de junio,16 de noviembre,164,,,0,19 de julio,17 de octubre,6.23,18.99,25.21,AEMET
C129V,FUENCALIENTE,SANTA CRUZ DE TENERIFE,19.0,28.455,-17.8411,0.6,litoral,<200,canarias,7 de febrero,31 de agosto,48,71,48,71,36,71,2 de junio,19 de noviembre,171,,,0,20 de julio,18 de octubre,5.64,19.41,25.05,AEMET
C139E,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,33.0,28.6331,-17.755,0.6,litoral,<200,canarias,6 de febrero,31 de agosto,47,71,49,59,47,71,16 de junio,4 de noviembre,142,,,0,18 de julio,16 de octubre,5.89,18.49,24.39,AEMET
