hotel,municipio,provincia,nivel,est_ref_indicativo,ref_desc,booking_slug,web
Hotel Ciria,Benasque,Huesca,A,9838B,,ciria,
"Canfranc Estación, a Royal Hideaway",Canfranc,Huesca,A,9198X,,canfranc-estacion-a-royal-hideaway,
Hotel Villa de Torla,Torla-Ordesa,Huesca,A,9814I,,villa-de-torla,
Parador de Arties,Naut Aran,Lleida,A,9990X,,parador-de-arties,
Parador de Vielha,Vielha,Lleida,B,9990X,Estación de Arties (Naut Aran),parador-de-vielha,
Hotel SNÖ Isaba,Isaba,Navarra,A,9218A,,apartamentos-isaba,
Parador de Fuente Dé,Camaleño,Cantabria,A,1167B,,parador-de-fuente-de,
Hotel del Oso,Cosgaya,Cantabria,B,1167B,Estación de Fuente Dé (Camaleño),del-oso,
Hotel Snö La Corza Blanca,Alto Campoo,Cantabria,A,9001S,,la-corza-blanca-branavieja,
Hotel San Roque,Reinosa,Cantabria,A,9001D,,san-roque-reinosa,
Parador de Cervera de Pisuerga,Cervera de Pisuerga,Palencia,A,2235U,,parador-de-cervera-de-pisuerga,
Hotel Presa,Riaño,León,A,2624C,,presa,
Hotel Casa Miño,Pola de Somiedo,Asturias,A,1276F,,casa-mia-o,
Hotel La Brañina,Villablino,León,A,1541B,,la-braa-ina,
Parador de Gredos,Navarredonda de Gredos,Ávila,B,3319D,Estación de Puerto del Pico (Gredos),parador-de-gredos,
Hotel El Milano Real,Hoyos del Espino,Ávila,B,3319D,Estación de Puerto del Pico (Gredos),milanoreal,
Hotel Rural Los Manzanos,Rascafría,Madrid,A,3104Y,,rural-los-manzanos,
Hotel La Corte de los Pinares,Vinuesa,Soria,A,2005Y,,rural-la-corte-de-los-pinares,
Parador de Molina de Aragón,Molina de Aragón,Guadalajara,A,3013,,parador-de-molina-de-aragon,
Hotel Albarracín,Albarracín,Teruel,A,8354X,,albarracin,
Hotel La Rueda 3000,Mora de Rubielos,Teruel,B,8458X,Estación de Cedrillas (Sierra de Gúdar),la-rueda,
Hotel Suiza,Bronchales,Teruel,B,8458X,Estación de Cedrillas (Sierra de Gúdar),suiza-bronchales,
Parador de Puebla de Sanabria,Puebla de Sanabria,Zamora,B,2766E,Estación de Sanabria (Robleda-Cervantes),parador-de-puebla-de-sanabria,
HG Cerler,Cerler,Huesca,B,9838B,Estación de Benasque (fondo de valle),hg-cerler,
Hotel Castillo del Alba,Pola de Somiedo,Asturias,A,1276F,,castillo-del-alba,
Hotel Esther,La Virgen de la Vega (Alcalá de la Selva),Teruel,B,8458X,Estación de Cedrillas (Sierra de Gúdar),esther,
Vincci Selección Rumaykiyya,Sierra Nevada (Pradollano),Granada,B,5516D,Estación de Sierra Nevada · Radiotelescopio (2.856 m),vincci-seleccion-rumaykiyya-sierra-nevada,
El Lodge Ski & Spa,Sierra Nevada (Pradollano),Granada,B,5516D,Estación de Sierra Nevada · Radiotelescopio (2.856 m),el-lodge,
Hotel Maribel,Sierra Nevada (Pradollano),Granada,B,5516D,Estación de Sierra Nevada · Radiotelescopio (2.856 m),maribelsierranevada,
Hotel GHM Monachil,Sierra Nevada (Pradollano),Granada,B,5516D,Estación de Sierra Nevada · Radiotelescopio (2.856 m),ghm-monachil,
Meliá Sierra Nevada,Sierra Nevada (Pradollano),Granada,B,5516D,Estación de Sierra Nevada · Radiotelescopio (2.856 m),melia-sierra-nevada,
Meliá Sol y Nieve,Sierra Nevada (Pradollano),Granada,B,5516D,Estación de Sierra Nevada · Radiotelescopio (2.856 m),melia-sol-y-nieve,
Albergue Inturjoven Sierra Nevada,Sierra Nevada (Pradollano),Granada,B,5516D,Estación de Sierra Nevada · Radiotelescopio (2.856 m),albergue-inturjoven-sierra-nevada,
