id,nombre,lat,lon,provincia,tipo
a-agra,A Agra,42.4279,-7.9687,Ourense,aldea
a-allonca,A Allonca,43.1802,-6.9856,Lugo,aldea
a-ameixenda,A Ameixenda,42.9333,-9.1667,A Coruña,aldea
a-bana,A Baña,42.9618,-8.7578,A Coruña,base
a-barqueira,A Barqueira,43.6112,-7.9452,A Coruña,aldea
a-bola,A Bola,42.1523,-7.9146,Ourense,aldea
a-broza,A Broza,42.6538,-7.5835,Lugo,aldea
a-cal,A Cal,42.2173,-7.8143,Ourense,aldea
a-campina,A Campiña,43.0342,-7.5307,Lugo,aldea
a-canda,A Canda,42.5,-7.9833,Ourense,aldea
a-caniza,A Cañiza,42.2167,-8.2667,Pontevedra,aldea
a-coruna,A Coruña,43.3713,-8.396,A Coruña,base
a-cuqueira,A Cuqueira,42.3502,-7.9759,Ourense,aldea
a-estrada,A Estrada,42.6891,-8.4884,Pontevedra,base
a-ferreirua,A Ferreirúa,42.5986,-7.3897,Lugo,aldea
a-formiga,A Formiga,42.2834,-8.6356,Pontevedra,aldea
a-golada,A Golada,42.8547,-7.1088,Pontevedra,aldea
a-grana,A Graña,42.1626,-7.7388,Ourense,aldea
a-guarda,A Guarda,41.9013,-8.8742,Pontevedra,base
a-gudina,A Gudiña,42.061,-7.1387,Ourense,aldea
a-illa-da-toxa,A Illa da Toxa,42.4851,-8.8461,Pontevedra,aldea
a-lagoa,A Lagoa,42.5375,-8.5409,Pontevedra,aldea
a-lanzada,A Lanzada,42.4288,-8.8721,Pontevedra,aldea
a-madalena,A Madalena,41.9181,-7.5857,Ourense,aldea
a-manchica,A Manchica,42.2229,-7.9273,Ourense,aldea
a-marina,A Mariña,43.5167,-8.3,A Coruña,aldea
a-medorra,A Medorra,42.3167,-7.4667,Ourense,aldea
a-merca,A Merca,42.2226,-7.9049,Ourense,aldea
a-mezquita,A Mezquita,42.0142,-7.0505,Ourense,municipio
a-pasaxe,A Pasaxe,41.8901,-8.854,Pontevedra,aldea
a-pena,A Pena,42.0888,-7.6777,Ourense,aldea
a-peroxa,A Peroxa,42.4167,-7.8167,Ourense,aldea
a-pobra-do-brollon,A Pobra do Brollon,42.5561,-7.3914,Lugo,base
a-pobra-do-caraminal,A Pobra do Caramiñal,42.6029,-8.9382,A Coruña,base
a-ponte,A Ponte,42.1904,-7.158,Ourense,aldea
a-proba,A Proba,42.4195,-7.011,Ourense,aldea
a-ramallosa,A Ramallosa,42.1116,-8.8173,Pontevedra,base
a-reza,A Reza,42.2678,-8.1515,Ourense,aldea
a-riba,A Riba,42.9667,-8.8167,A Coruña,aldea
a-rua,A Rúa,42.4005,-7.1027,Ourense,base
a-salceda,A Salceda,42.9251,-8.2834,A Coruña,aldea
a-torre,A Torre,42.15,-8.1333,Ourense,aldea
a-trabe,A Trabe,41.9028,-7.1947,Ourense,aldea
a-veiga,A Veiga,42.25,-7.0261,Ourense,base
a-veiga-de-cascalla,A Veiga de Cascallá,42.4529,-6.8998,Ourense,aldea
a-veiguina,A Veiguiña,43.5039,-6.8917,Asturias,aldea
ababuj,Ababuj,40.5491,-0.8076,Teruel,base
abad,Abad,43.5833,-8.0,A Coruña,aldea
abades,Abades,40.9165,-4.2694,Segovia,base
