indicativo,mes,tm_mes,tm_max,tm_min,ta_max,ta_min,p_mes,p_max,hr,n_llu,n_nie,n_tor
B013X,01,,,,,,,,,,,
B013X,02,,,,,,,,,,,
B013X,03,,,,,,,,,,,
B013X,04,,,,,,,,,,,
B013X,05,,,,,,,,,,,
B013X,06,,,,,,,,,,,
B013X,07,,,,,,,,,,,
B013X,08,,,,,,,,,,,
B013X,09,,,,,,,,,,,
B013X,10,,,,,,,,,,,
B013X,11,,,,,,,,,,,
B013X,12,,,,,,,,,,,
B013X,13,,,,,,,,,,,
B051A,01,,,,,,,,,,,
B051A,02,,,,,,,,,,,
B051A,03,,,,,,,,,,,
B051A,04,,,,,,,,,,,
B051A,05,,,,,,,,,,,
B051A,06,,,,,,,,,,,
B051A,07,,,,,,,,,,,
B051A,08,,,,,,,,,,,
B051A,09,,,,,,,,,,,
B051A,10,,,,,,,,,,,
B051A,11,,,,,,,,,,,
B051A,12,,,,,,,,,,,
B051A,13,,,,,,,,,,,
B087X,01,,,,,,,,,,,
B087X,02,,,,,,,,,,,
B087X,03,,,,,,,,,,,
B087X,04,,,,,,,,,,,
B087X,05,,,,,,,,,,,
B087X,06,,,,,,,,,,,
B087X,07,,,,,,,,,,,
B087X,08,,,,,,,,,,,
B087X,09,,,,,,,,,,,
B087X,10,,,,,,,,,,,
B087X,11,,,,,,,,,,,
B087X,12,,,,,,,,,,,
B087X,13,,,,,,,,,,,
B103B,01,,,,,,,,,,,
B103B,02,,,,,,,,,,,
B103B,03,,,,,,,,,,,
B103B,04,,,,,,,,,,,
B103B,05,,,,,,,,,,,
B103B,06,,,,,,,,,,,
B103B,07,,,,,,,,,,,
B103B,08,,,,,,,,,,,
B103B,09,,,,,,,,,,,
B103B,10,,,,,,,,,,,
B103B,11,,,,,,,,,,,
B103B,12,,,,,,,,,,,
B103B,13,,,,,,,,,,,
B158X,01,,,,,,,,,,,
B158X,02,,,,,,,,,,,
B158X,03,,,,,,,,,,,
B158X,04,,,,,,,,,,,
B158X,05,,,,,,,,,,,
B158X,06,,,,,,,,,,,
B158X,07,,,,,,,,,,,
B158X,08,,,,,,,,,,,
B158X,09,,,,,,,,,,,
B158X,10,,,,,,,,,,,
B158X,11,,,,,,,,,,,
B158X,12,,,,,,,,,,,
B158X,13,,,,,,,,,,,
B228,01,,,,,,,,,,,
B228,02,,,,,,,,,,,
B228,03,,,,,,,,,,,
B228,04,,,,,,,,,,,
B228,05,,,,,,,,,,,
B228,06,,,,,,,,,,,
B228,07,,,,,,,,,,,
B228,08,,,,,,,,,,,
B228,09,,,,,,,,,,,
B228,10,,,,,,,,,,,
B228,11,,,,,,,,,,,
B228,12,,,,,,,,,,,
B228,13,,,,,,,,,,,
B236C,01,,,,,,,,,,,
B236C,02,,,,,,,,,,,
B236C,03,,,,,,,,,,,
B236C,04,,,,,,,,,,,
B236C,05,,,,,,,,,,,
B236C,06,,,,,,,,,,,
B236C,07,,,,,,,,,,,
B236C,08,,,,,,,,,,,
B236C,09,,,,,,,,,,,
B236C,10,,,,,,,,,,,
B236C,11,,,,,,,,,,,
B236C,12,,,,,,,,,,,
B236C,13,,,,,,,,,,,
B248,01,,,,,,,,,,,
