indicativo_alta,nombre_alta,provincia_alta,altitud_alta_m,lat_alta,lon_alta,indicativo_baja,nombre_baja,provincia_baja,altitud_baja_m,lat_baja,lon_baja,distancia_km,delta_altitud_m,delta_tmin_c,gradiente_c_por_100m,veranos_comunes,anio_ini,anio_fin,tmin_alta_comun_c,tmin_baja_comun_c,tmin_alta_serie_c,tmin_baja_serie_c,dist_costa_baja_km,dist_costa_alta_km,grupo_altitud,grupo_costa,delta_esperado_c,anomalia_c,inversion_pura,fuente
0009X,ALFORJA,TARRAGONA,406.0,41.21388888888889,0.9633333333333333,0016B,REUS (CENTRE LECTURA),TARRAGONA,118.0,41.15416666666667,1.108888888888889,13.87,288.0,-4.941,-1.716,8,2017,2025,16.41,21.35,16.6,21.31,9.4,17.2,<400,litoral,-1.009,-3.932,no,AEMET
0200E,"BARCELONA, FABRA",BARCELONA,408.0,41.41833333333333,2.1241666666666665,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,41.29277777777778,2.0700000000000003,14.67,404.0,-1.732,-0.429,10,2017,2026,19.61,21.34,19.61,21.34,0.3,6.3,<400,litoral,-1.416,-0.316,no,AEMET
0120X,MOIÀ,BARCELONA,742.0,41.81333333333333,2.095277777777778,0341,TONA (ESCOLA),BARCELONA,607.0,41.846944444444446,2.2225,11.18,135.0,1.243,0.921,8,2017,2025,15.84,14.6,16.23,14.6,39.3,40.8,400-800,interior,-0.473,1.716,si,AEMET
0120X,MOIÀ,BARCELONA,742.0,41.81333333333333,2.095277777777778,0341X,TONA,BARCELONA,607.0,41.846944444444446,2.2225,11.18,135.0,0.861,0.638,8,2017,2024,15.81,14.95,16.23,14.95,39.3,40.8,400-800,interior,-0.473,1.334,si,AEMET
0158O,MONTSERRAT,BARCELONA,738.0,41.59444444444445,1.8391666666666668,0149D,MANRESA (LA CULLA),BARCELONA,291.0,41.72,1.840277777777778,13.96,447.0,0.435,0.097,9,2017,2025,17.41,16.97,17.41,16.97,45.3,37.1,<400,interior,-1.566,2.001,si,AEMET
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,41.59444444444445,1.8391666666666668,0149D,MANRESA (LA CULLA),BARCELONA,291.0,41.72,1.840277777777778,13.96,447.0,0.407,0.091,9,2017,2025,17.38,16.97,17.68,16.97,45.3,37.1,<400,interior,-1.566,1.973,si,AEMET
0158O,MONTSERRAT,BARCELONA,738.0,41.59444444444445,1.8391666666666668,0149X,MANRESA,BARCELONA,291.0,41.72,1.840277777777778,13.96,447.0,0.552,0.124,9,2017,2025,17.41,16.86,17.41,17.03,45.3,37.1,<400,interior,-1.566,2.118,si,AEMET
0158X,MONISTROL DE MONTSERRAT,BARCELONA,738.0,41.59444444444445,1.8391666666666668,0149X,MANRESA,BARCELONA,291.0,41.72,1.840277777777778,13.96,447.0,0.652,0.146,10,2017,2026,17.68,17.03,17.68,17.03,45.3,37.1,<400,interior,-1.566,2.218,si,AEMET
0200E,"BARCELONA, FABRA",BARCELONA,408.0,41.41833333333333,2.1241666666666665,0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,26.0,41.39055555555556,2.2,7.04,382.0,-2.131,-0.558,8,2017,2025,19.23,21.36,19.61,21.36,0.1,6.3,<400,litoral,-1.339,-0.792,no,AEMET
0200E,"BARCELONA, FABRA",BARCELONA,408.0,41.41833333333333,2.1241666666666665,0201X,"BARCELONA, DRASSANES",BARCELONA,11.0,41.375,2.1738888888888885,6.36,397.0,-2.492,-0.628,7,2017,2026,19.81,22.3,19.61,22.3,0.6,6.3,<400,litoral,-1.391,-1.101,no,AEMET
0312X,SANT PAU DE SEGÚRIES,GIRONA,851.0,42.25833333333333,2.3644444444444446,0394X,LA VALL DE BIANYA,GIRONA,350.0,42.21055555555556,2.4719444444444445,10.32,501.0,-2.9,-0.579,10,2017,2026,12.0,14.9,12.0,14.9,13.4,12.6,<400,litoral,-1.756,-1.144,no,AEMET
0320I,PLANOLES,GIRONA,1151.0,42.316944444444445,2.102777777777778,0321,CAMPDEVANOL,GIRONA,731.0,42.22277777777778,2.167222222222222,11.74,420.0,-1.509,-0.359,7,2017,2025,11.75,13.26,12.14,13.26,16.3,4.6,400-800,litoral,-1.472,-0.037,no,AEMET
9585,LA MOLINA,GIRONA,1699.0,42.3325,1.9394444444444445,0320I,PLANOLES,GIRONA,1151.0,42.316944444444445,2.102777777777778,13.54,548.0,-2.041,-0.373,10,2017,2026,10.1,12.14,10.1,12.14,4.6,4.9,>800,litoral,-1.92,-0.121,no,AEMET
1021Y,ARTICUTZA (AUTOMATICA),NAVARRA,305.0,43.21222222222222,-1.7977777777777777,1010X,BERA,NAVARRA,54.0,43.27861111111111,-1.6758333333333333,12.33,251.0,-1.944,-0.774,8,2018,2025,13.38,15.33,13.38,15.45,3.1,11.2,<400,litoral,-0.88,-1.064,no,AEMET
1012P,IRUN,GIPUZKOA,120.0,43.32638888888889,-1.7966666666666666,1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,4.0,43.356944444444444,-1.7922222222222222,3.42,116.0,-0.605,-0.522,10,2017,2026,16.82,17.43,16.82,17.43,0.4,2.0,<400,litoral,-0.406,-0.199,no,AEMET
1012P,IRUN,GIPUZKOA,120.0,43.32638888888889,-1.7966666666666666,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,4.0,43.356944444444444,-1.7922222222222222,3.42,116.0,-0.886,-0.764,10,2017,2026,16.82,17.71,16.82,17.71,0.4,2.0,<400,litoral,-0.406,-0.48,no,AEMET
1021Y,ARTICUTZA (AUTOMATICA),NAVARRA,305.0,43.21222222222222,-1.7977777777777777,1012P,IRUN,GIPUZKOA,120.0,43.32638888888889,-1.7966666666666666,12.7,185.0,-3.294,-1.781,8,2018,2025,13.38,16.68,13.38,16.82,2.0,11.2,<400,litoral,-0.648,-2.646,no,AEMET
1021Y,ARTICUTZA (AUTOMATICA),NAVARRA,305.0,43.21222222222222,-1.7977777777777777,1021X,"ERRENTERIA, AÑARBE",GIPUZKOA,165.0,43.21388888888889,-1.8788888888888888,6.58,140.0,-1.453,-1.038,8,2018,2025,13.38,14.83,13.38,15.0,13.3,11.2,<400,litoral,-0.491,-0.962,no,AEMET
1037X,LEGAZPI,GIPUZKOA,460.0,43.05166666666666,-2.3372222222222225,1025A,SEGURA,GIPUZKOA,255.0,43.01555555555556,-2.256666666666667,7.68,205.0,-0.847,-0.413,10,2017,2026,13.64,14.49,13.64,14.49,31.0,27.6,<400,interior,-0.718,-0.129,no,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.080000000000005,-2.3175,1025A,SEGURA,GIPUZKOA,255.0,43.01555555555556,-2.256666666666667,8.71,176.0,-0.759,-0.431,10,2017,2026,13.73,14.49,13.73,14.49,31.0,24.5,<400,interior,-0.617,-0.142,no,AEMET
1037X,LEGAZPI,GIPUZKOA,460.0,43.05166666666666,-2.3372222222222225,1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255.0,43.05472222222222,-2.2319444444444447,8.56,205.0,-0.987,-0.481,10,2017,2026,13.64,14.63,13.64,14.63,26.4,27.6,<400,litoral,-0.718,-0.269,no,AEMET
1037Y,ZUMARRAGA,GIPUZKOA,431.0,43.080000000000005,-2.3175,1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255.0,43.05472222222222,-2.2319444444444447,7.5,176.0,-0.899,-0.511,10,2017,2026,13.73,14.63,13.73,14.63,26.4,24.5,<400,litoral,-0.617,-0.282,no,AEMET
