indicativo,nombre,provincia,altitud_m,lat,lon,dist_costa_km,grupo_costa,franja_altitud,n_veranos,anio_ini,anio_fin,noches_posibles,nivel_partida,nivel_final,cambio_absoluto,pendiente_noches_anio,ic95_inf,ic95_sup,ic95_excluye_cero,r2,error_std,cerca_del_techo,posible_inhomogeneidad,salto_max_veranos,serie,fuente
C919K,TACORON-LAPILLAS-TORTUGA,SANTA CRUZ DE TENERIFE,98.0,27.6653,-18.0186,0.5,litoral,<200,9,2017,2026,81,32.67,59.0,26.33,2.5809,-1.4426,6.6043,no,0.2474,1.7012,no,no,35.0,2017:47;2018:21;2019:30;2020:58;2021:34;2022:38;2023:73;2025:50;2026:54,AEMET
5641X,ÉCIJA,SEVILLA,130.0,37.5161,-5.085,106.9,interior,<200,9,2017,2026,81,15.33,40.67,25.33,3.023,0.2531,5.7929,si,0.4876,1.1712,no,no,29.0,2017:24;2018:12;2019:10;2020:39;2021:31;2023:42;2024:39;2025:52;2026:31,AEMET
6058I,ESTEPONA,MALAGA,19.0,36.4169,-5.155,1.4,litoral,<200,8,2018,2026,81,27.33,52.33,25.0,4.5,2.0129,6.9871,si,0.7656,1.0164,no,no,20.0,2018:18;2019:32;2021:32;2022:52;2023:50;2024:41;2025:61;2026:55,AEMET
5796,MORÓN DE LA FRONTERA,SEVILLA,87.0,37.1644,-5.6114,78.9,interior,<200,10,2017,2026,81,19.0,43.33,24.33,3.2182,0.863,5.5734,si,0.5538,1.0213,no,no,24.0,2017:32;2018:12;2019:13;2020:37;2021:29;2022:41;2023:45;2024:34;2025:51;2026:45,AEMET
5891X,LAS CABEZAS DE SAN JUAN,SEVILLA,105.0,36.9533,-5.8467,50.9,interior,<200,10,2017,2026,81,17.67,42.0,24.33,3.3333,1.3632,5.3034,si,0.6555,0.8543,no,no,21.0,2017:28;2018:13;2019:12;2020:33;2021:24;2022:36;2023:44;2024:34;2025:45;2026:47,AEMET
5165X,TORRES,JAEN,910.0,37.7808,-3.5636,114.7,interior,800-1200,10,2017,2026,81,18.0,42.0,24.0,3.2303,0.5344,5.9262,si,0.4883,1.1691,no,no,27.0,2017:31;2018:9;2019:14;2020:32;2021:15;2022:42;2023:40;2024:34;2025:52;2026:40,AEMET
5515X,GRANADA-CARTUJA,GRANADA,775.0,37.1897,-3.5956,48.9,interior,500-800,9,2018,2026,81,21.33,45.0,23.67,4.4333,2.2187,6.648,si,0.762,0.9364,no,no,21.0,2018:10;2019:23;2020:31;2021:21;2022:42;2023:42;2024:35;2025:54;2026:46,AEMET
6045X,ALPANDEIRE,MALAGA,676.0,36.6325,-5.2031,22.1,litoral,500-800,10,2017,2026,81,27.0,50.33,23.33,3.5758,1.5504,5.6012,si,0.6745,0.8783,no,no,18.0,2017:34;2018:18;2019:29;2020:35;2021:36;2022:51;2023:56;2024:39;2025:57;2026:55,AEMET
5783,SEVILLA AEROPUERTO,SEVILLA,34.0,37.4167,-5.8792,74.7,interior,<200,10,2017,2026,81,29.67,52.67,23.0,3.0303,-0.4438,6.5044,no,0.3359,1.5066,no,no,34.0,2017:48;2018:19;2019:22;2020:47;2021:27;2022:43;2023:44;2024:31;2025:65;2026:62,AEMET
6050X,GAUCÍN,MALAGA,594.0,36.5186,-5.3186,16.5,litoral,500-800,9,2017,2026,81,15.33,38.0,22.67,3.2784,0.9936,5.5632,si,0.6219,0.9661,no,no,27.0,2017:25;2018:12;2019:9;2020:22;2021:13;2023:40;2024:29;2025:42;2026:43,AEMET
7026X,TORRE-PACHECO,MURCIA,50.0,37.7389,-0.9675,10.3,litoral,<200,9,2018,2026,81,36.33,59.0,22.67,3.8333,2.1562,5.5105,si,0.8067,0.7092,no,si,18.0,2018:36;2019:39;2020:34;2021:38;2022:40;2023:58;2024:53;2025:63;2026:61,AEMET
5919X,OLVERA,CADIZ,530.0,36.9317,-5.2594,54.8,interior,500-800,10,2017,2026,81,23.33,45.67,22.33,2.8242,0.0368,5.6117,si,0.4056,1.2088,no,no,-30.0,2017:43;2018:13;2019:14;2020:38;2021:28;2022:35;2023:48;2024:39;2025:50;2026:48,AEMET
5995B,VEJER DE LA FRONTERA,CADIZ,183.0,36.2453,-5.9653,6.2,litoral,<200,10,2017,2026,81,20.0,42.33,22.33,2.7879,-0.0805,5.6563,no,0.3857,1.2439,no,no,34.0,2017:33;2018:13;2019:14;2020:48;2021:21;2022:39;2023:39;2024:31;2025:46;2026:50,AEMET
5427X,DOÑA MENCÍA,CORDOBA,650.0,37.5561,-4.3539,91.9,interior,500-800,9,2017,2026,81,26.67,48.67,22.0,3.0081,0.2873,5.7288,si,0.4941,1.1504,no,no,-19.0,2017:34;2018:15;2019:31;2020:47;2021:29;2022:47;2023:53;2024:41;2026:52,AEMET
4236Y,PUERTO REY,CACERES,689.0,39.4506,-5.0264,217.6,interior,500-800,9,2017,2026,81,21.0,42.67,21.67,3.3735,0.9742,5.7728,si,0.6123,1.0145,no,no,23.0,2017:22;2018:9;2020:32;2021:12;2022:32;2023:30;2024:37;2025:50;2026:41,AEMET
5656,FUENTES DE ANDALUCÍA,SEVILLA,165.0,37.4972,-5.4331,111.2,interior,<200,8,2017,2026,81,30.0,51.67,21.67,2.7412,-0.1814,5.6639,no,0.4675,1.1944,no,si,-27.0,2017:47;2018:20;2019:23;2020:39;2021:34;2023:48;2025:53;2026:54,AEMET
6076X,"MARBELLA, PUERTO",MALAGA,2.0,36.4844,-4.9531,0.9,litoral,<200,10,2017,2026,81,36.0,57.67,21.67,3.1333,-0.1634,6.4301,no,0.3752,1.4296,no,no,-32.0,2017:47;2018:27;2019:34;2020:51;2021:19;2022:43;2023:57;2024:42;2025:66;2026:65,AEMET
6201X,ALGARROBO,MALAGA,35.0,36.7558,-4.0439,0.7,litoral,<200,9,2017,2025,81,31.67,53.33,21.67,3.3167,-0.0363,6.6696,no,0.4388,1.4177,no,no,-23.0,2017:45;2018:22;2019:28;2020:38;2021:25;2022:47;2023:52;2024:44;2025:64,AEMET
4267X,HINOJOSA DEL DUQUE,CORDOBA,551.0,38.4986,-5.1214,163.7,interior,500-800,10,2017,2026,81,9.67,31.0,21.33,2.7879,0.6882,4.8876,si,0.5396,0.9105,no,no,21.0,2017:14;2018:4;2019:11;2020:32;2021:11;2022:30;2023:29;2024:25;2025:39;2026:29,AEMET
5598X,BENAMEJÍ,CORDOBA,465.0,37.2308,-4.5478,57.4,interior,200-500,10,2017,2026,81,28.0,49.33,21.33,2.9152,0.2807,5.5496,si,0.4487,1.1424,no,no,-28.0,2017:44;2018:16;2019:24;2020:41;2021:31;2022:47;2023:54;2024:41;2025:57;2026:50,AEMET
5910,"ROTA, BASE NAVAL",CADIZ,21.0,36.6389,-6.3325,2.1,litoral,<200,10,2017,2026,81,25.0,46.33,21.33,2.8848,0.7027,5.067,si,0.5374,0.9463,no,no,21.0,2017:36;2018:18;2019:21;2020:42;2021:24;2022:41;2023:47;2024:39;2025:48;2026:52,AEMET
B656A,SANTA MARÍA DEL CAMÍ,BALEARES,121.0,39.6525,2.8003,14.3,litoral,<200,10,2017,2026,81,21.67,43.0,21.33,3.4909,2.0985,4.8833,si,0.8069,0.6038,no,no,19.0,2017:17;2018:19;2019:29;2020:20;2021:23;2022:42;2023:41;2024:39;2025:40;2026:50,AEMET
5612X,LORA DE ESTEPA,SEVILLA,450.0,37.2703,-4.8269,71.5,interior,200-500,10,2017,2026,81,27.67,48.33,20.67,2.5818,0.1333,5.0303,si,0.425,1.0618,no,no,23.0,2017:43;2018:22;2019:18;2020:41;2021:37;2022:45;2023:49;2024:41;2025:58;2026:46,AEMET
5790Y,"SEVILLA, TABLADA",SEVILLA,9.0,37.3642,-6.0058,62.4,interior,<200,10,2017,2026,81,26.67,47.33,20.67,2.6667,0.2828,5.0505,si,0.4541,1.0338,no,no,-22.0,2017:41;2018:19;2019:20;2020:41;2021:29;2022:45;2023:43;2024:37;2025:55;2026:50,AEMET
5906X,CHIPIONA,CADIZ,10.0,36.75,-6.4006,0.8,litoral,<200,10,2017,2026,81,17.33,38.0,20.67,2.4364,-0.1804,5.0532,no,0.3656,1.1348,no,no,29.0,2017:30;2018:10;2019:12;2020:41;2021:19;2022:35;2023:31;2024:29;2025:47;2026:38,AEMET
6069X,BENAHAVÍS,MALAGA,392.0,36.5436,-5.0247,8.1,litoral,200-500,10,2017,2026,81,37.67,58.0,20.33,3.1333,1.597,4.6696,si,0.7344,0.6662,no,no,18.0,2017:41;2018:32;2019:40;2020:40;2021:37;2022:51;2023:54;2024:46;2025:64;2026:64,AEMET
6056X,SAN ROQUE,CADIZ,1.0,36.2731,-5.2844,0.6,litoral,<200,10,2017,2026,81,21.67,41.67,20.0,2.903,0.7773,5.0287,si,0.5535,0.9218,no,no,19.0,2017:28;2018:16;2019:21;2020:37;2021:20;2022:37;2023:39;2024:27;2025:46;2026:52,AEMET
4340,NAVALVILLAR DE PELA,BADAJOZ,313.0,39.1033,-5.4614,164.4,interior,200-500,10,2017,2026,81,20.67,40.33,19.67,2.8909,0.9141,4.8677,si,0.587,0.8572,no,no,27.0,2017:24;2018:17;2019:21;2020:32;2021:12;2022:39;2023:39;2024:33;2025:44;2026:44,AEMET
4358X,DON BENITO,BADAJOZ,274.0,38.9556,-5.8806,125.9,interior,200-500,10,2017,2026,81,17.67,37.33,19.67,2.5515,0.0611,5.042,si,0.411,1.08,no,no,28.0,2017:26;2018:16;2019:11;2020:32;2021:14;2022:42;2023:28;2024:27;2025:47;2026:38,AEMET
5038Y,CAZORLA,JAEN,799.0,37.9158,-3.0039,127.5,interior,500-800,10,2017,2026,81,37.67,57.33,19.67,2.7333,0.7879,4.6788,si,0.5675,0.8436,no,no,-20.0,2017:49;2018:29;2019:35;2020:47;2021:41;2022:53;2023:57;2024:48;2025:64;2026:60,AEMET
