estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Sobrado,500,0.0,0.0,43.038,-8.022,9.0
As Pontes,343,0.0,0.0,43.446,-7.861,9.0
"Carballo, Depuradora",98,0.0,0.0,43.204,-8.711,9.0
Cabo Vilán,50,0.0,0.0,43.161,-9.211,9.0
Mazaricos,340,0.1,0.0,42.935,-8.994,9.0
Vimianzo,287,0.2,0.0,43.057,-9.047,9.0
A Coruña Aeropuerto,98,0.2,0.0,43.307,-8.372,9.0
Estaca de Bares,90,0.2,0.0,43.786,-7.685,9.0
Santiago de Compostela Aeropuerto,370,0.4,0.0,42.888,-8.411,9.0
Padrón,100,0.4,0.0,42.738,-8.627,9.0
"Rois, Casas do Porto",210,0.6,0.0,42.75,-8.715,9.0
Santiago de Compostela,240,0.8,0.0,42.876,-8.556,9.0
Noia,128,0.9,0.0,42.8,-8.876,9.0
A Coruña Bens,132,1.0,0.0,43.363,-8.442,9.0
A Coruña,57,1.1,0.0,43.366,-8.421,9.0
Boiro,10,1.3,0.0,42.644,-8.892,9.0
Fisterra,230,1.4,0.2,42.925,-9.291,9.0
Ferrol,4,2.1,0.0,43.476,-8.262,9.0
