estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Vélez Blanco - Topares,1190,6.7,0.0,37.861,-2.228,10.0
Láujar de Andarax,1510,20.2,1.4,37.033,-2.913,10.0
Abla,869,31.4,1.0,37.141,-2.78,9.0
Albox,508,45.8,1.7,37.407,-2.151,10.0
Huércal-Overa,300,47.1,0.1,37.391,-1.944,9.0
Roquetas de Mar,3,49.7,2.4,36.687,-2.702,9.0
Adra,8,52.0,6.7,36.747,-3.021,7.0
Carboneras,222,59.3,7.3,36.942,-1.907,6.0
El Ejido,98,69.6,8.6,36.775,-2.813,10.0
Garrucha,28,70.5,7.7,37.169,-1.829,10.0
Almería Aeropuerto,21,71.7,13.5,36.846,-2.357,10.0
Cabo de Gata,42,74.4,24.2,36.722,-2.193,10.0
