estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Puerto del Pico,1285,0.0,0.0,40.34,-5.013,9.0
Barco de Avila,1012,0.0,0.0,40.355,-5.519,9.0
Arevalo,820,2.2,0.0,41.071,-4.73,9.0
Muñotello,1178,3.1,0.0,40.543,-5.044,9.0
Ávila,1130,4.0,0.0,40.659,-4.68,9.0
Gotarrendura,920,4.2,0.0,40.829,-4.742,9.0
Rivilla de Barajas,925,5.8,0.0,40.882,-5.019,9.0
Candeleda,350,14.6,0.0,40.139,-5.311,9.0
Sotillo de la Adrada,630,17.5,1.4,40.289,-4.591,8.0
Cebreros,850,21.0,0.1,40.468,-4.456,9.0
