estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Fregenal de la Sierra,586,2.3,0.0,38.178,-6.662,9.0
Barcarrota,377,8.6,0.2,38.473,-6.923,9.0
Alburquerque,283,8.8,0.2,39.182,-6.995,9.0
Peraleda del Zaucejo,542,10.0,0.0,38.48,-5.577,9.0
Mérida,228,11.0,0.2,38.916,-6.386,9.0
Villafranca de los Barros,430,11.8,0.2,38.552,-6.307,9.0
Badajoz,174,13.9,0.2,38.886,-7.009,9.0
Zafra,433,14.0,0.0,38.426,-6.437,9.0
Alconchel,170,14.6,0.4,38.485,-7.282,9.0
Jerez de los Caballeros,381,15.0,0.6,38.299,-6.765,9.0
Puebla de Obando,392,16.4,0.4,39.177,-6.601,9.0
Villanueva del Fresno,247,16.9,0.7,38.372,-7.158,9.0
Badajoz Aeropuerto,186,17.3,0.2,38.883,-6.814,9.0
Olivenza,275,17.6,1.0,38.697,-7.084,9.0
Monesterio,771,21.9,0.7,38.081,-6.272,9.0
Almendralejo,371,26.3,0.4,38.689,-6.361,9.0
Fuente de Cantos,602,28.1,1.4,38.209,-6.311,9.0
Azuaga,581,29.7,1.1,38.268,-5.686,9.0
Herrera del Duque,447,30.9,0.9,39.169,-5.062,9.0
Don Benito,274,32.2,0.8,38.956,-5.881,9.0
Navalvillar de Pela,313,33.0,0.8,39.103,-5.461,9.0
Llerena,655,33.3,2.3,38.232,-6.017,9.0
Castuera,459,49.8,9.0,38.742,-5.529,5.0
