estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Nuñomoral,470,1.3,0.0,40.408,-6.24,10.0
Torrecilla de los Angeles,459,7.1,0.0,40.255,-6.412,10.0
Piornal,1260,8.2,0.0,40.121,-5.832,10.0
Hervás,724,13.3,0.3,40.265,-5.861,10.0
Valencia de Alcántara,444,14.8,0.2,39.415,-7.231,10.0
Navalmoral de la Mata,269,18.8,0.3,39.946,-5.582,10.0
Montehermoso,351,20.6,0.6,40.081,-6.339,10.0
Tornavacas,991,20.7,0.5,40.259,-5.678,10.0
Guadalupe,660,21.8,0.6,39.455,-5.333,10.0
Brozas,425,22.6,1.4,39.618,-6.745,10.0
Aliseda,321,24.2,1.1,39.427,-6.736,10.0
Zarza la Mayor,336,25.0,2.2,39.871,-6.86,10.0
Alcuescar,467,25.3,1.5,39.197,-6.231,10.0
Valverde del Fresno,450,25.7,1.5,40.207,-6.896,10.0
Navalvillar de Ibor,923,25.8,0.5,39.592,-5.392,10.0
Cañamero,590,25.8,1.7,39.314,-5.369,10.0
Hoyos,560,28.2,2.1,40.175,-6.724,10.0
Puerto Rey,689,29.1,1.6,39.451,-5.026,10.0
Madrigal de la Vera,464,31.5,1.3,40.154,-5.373,10.0
Guijo de Granadilla,393,31.9,1.1,40.189,-6.168,10.0
Cáceres,394,32.4,1.4,39.471,-6.339,10.0
Coria,313,32.7,1.4,40.004,-6.558,10.0
Garganta la Olla,690,34.1,1.5,40.111,-5.785,10.0
Jaraicejo,559,35.3,2.8,39.67,-5.808,10.0
Zorita,413,35.3,4.7,39.283,-5.71,10.0
Serradilla,406,36.0,3.0,39.821,-6.127,10.0
Cañaveral,373,39.1,5.8,39.791,-6.376,10.0
Trujillo,523,42.1,4.0,39.464,-5.874,7.0
Plasencia,415,44.7,6.7,40.043,-6.086,9.0
