estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Jimena de la Frontera,42,10.8,0.0,36.436,-5.395,10.0
Jerez de la Frontera Aeropuerto,27,13.4,0.0,36.751,-6.056,10.0
Grazalema,913,15.0,1.4,36.761,-5.374,10.0
El Bosque,295,22.9,1.0,36.729,-5.512,10.0
Medina Sidonia,70,31.9,2.1,36.406,-5.92,10.0
Chipiona,10,32.4,0.5,36.75,-6.401,10.0
San Roque,1,36.7,0.3,36.273,-5.284,10.0
Vejer de la Frontera,186,37.4,1.2,36.246,-5.965,10.0
Olvera,530,39.5,4.0,36.932,-5.259,10.0
"Rota, Base Naval",21,40.4,1.1,36.639,-6.332,10.0
Tarifa,45,40.6,0.4,36.014,-5.597,10.0
San José del Valle,105,41.0,4.8,36.664,-5.783,10.0
Barbate,4,47.7,3.1,36.185,-5.909,10.0
San Fernando,28,57.9,5.0,36.466,-6.206,10.0
Cádiz,2,70.7,5.6,36.5,-6.258,10.0
