estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Fuencaliente,710,6.4,0.0,38.429,-4.302,9.0
Puebla de Don Rodrigo,533,12.4,0.0,39.084,-4.622,8.0
El Robledo,587,16.4,0.0,39.217,-4.283,9.0
Villanueva de los Infantes,900,17.7,0.2,38.738,-3.004,9.0
Tomelloso,662,18.2,0.4,39.169,-3.007,9.0
Almagro / Famet,626,21.7,0.0,38.951,-3.742,9.0
Abenójar,718,22.3,0.1,38.898,-4.292,9.0
Viso del Marqués,804,23.6,0.4,38.518,-3.567,9.0
Puertollano,665,36.7,1.4,38.669,-4.059,9.0
Valdepeñas,700,37.3,0.8,38.751,-3.391,9.0
Alcazar de San Juan,640,43.3,0.7,39.391,-3.216,9.0
Ciudad Real,626,43.3,1.3,38.989,-3.92,9.0
Almadén,535,49.3,5.4,38.775,-4.845,9.0
