estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Espiel,465,4.9,0.0,38.111,-4.929,10.0
Valsequillo,575,14.4,0.1,38.409,-5.351,10.0
"Córdoba, Embalse de Guadanuño",525,20.1,0.0,38.021,-4.797,10.0
La Rambla,200,20.8,0.0,37.639,-4.764,10.0
Hinojosa del Duque,551,25.4,0.2,38.499,-5.121,10.0
Priego de Córdoba,550,25.4,0.2,37.485,-4.208,10.0
Villanueva de Córdoba,750,25.9,0.6,38.333,-4.609,10.0
Cardeña,720,27.7,0.7,38.187,-4.272,10.0
Montoro,155,28.8,0.1,38.013,-4.33,10.0
Aguilar de la Frontera,309,31.7,0.6,37.482,-4.686,10.0
Córdoba Aeropuerto,90,31.7,0.3,37.849,-4.847,10.0
Fuente Palmera,120,44.8,0.4,37.753,-5.101,10.0
Doña Mencía,650,45.0,4.7,37.556,-4.354,10.0
Benamejí,465,46.2,1.3,37.231,-4.548,10.0
"Córdoba, Prágdena",275,47.4,1.1,37.81,-4.462,10.0
