estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Salvacañete,1160,0.0,0.0,40.103,-1.504,9.0
Cañizares,928,0.0,0.0,40.53,-2.15,5.0
Beteta,1214,0.2,0.0,40.572,-2.076,9.0
Mira,815,0.3,0.0,39.714,-1.443,10.0
Abia de Obispalia,1020,3.4,0.0,40.019,-2.395,9.0
Motilla del Palancar,830,4.8,0.0,39.555,-1.915,10.0
Alberca de Zancara,858,6.3,0.0,39.517,-2.496,10.0
Alcázar del Rey,875,8.0,0.0,40.061,-2.807,10.0
Osa de la Vega,763,10.0,0.0,39.656,-2.76,10.0
San Clemente,728,11.5,0.0,39.417,-2.421,10.0
Cuenca,949,12.9,0.0,40.067,-2.132,10.0
Villares del Saz,870,14.6,0.0,39.84,-2.503,10.0
Belmonte,745,26.7,0.2,39.555,-2.706,10.0
Tarancón,819,35.8,1.0,40.012,-3.021,9.0
