estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Legazpi,460,0.4,0.0,43.052,-2.337,9.0
Elgoibar,119,0.5,0.0,43.209,-2.413,8.0
Elgeta,470,0.6,0.0,43.138,-2.496,9.0
Aretxabaleta,308,0.6,0.0,43.025,-2.466,9.0
Zumarraga,431,0.8,0.0,43.08,-2.317,9.0
"Beasain, Arriaran",255,1.1,0.0,43.055,-2.232,9.0
Segura,255,1.1,0.0,43.016,-2.257,9.0
"Errenteria, Añarbe",165,1.1,0.0,43.214,-1.879,9.0
Ordizia,290,1.3,0.0,43.058,-2.184,9.0
Azpeitia,180,1.4,0.0,43.172,-2.267,9.0
"Donostia / San Sebastián, Igeldo",250,3.4,0.0,43.306,-2.041,9.0
Mutriku,150,6.3,0.0,43.317,-2.397,9.0
Irun,120,7.4,0.0,43.326,-1.797,9.0
Zumaia,28,8.3,0.0,43.302,-2.251,9.0
"Hondarribia, Malkarroa",4,13.8,0.0,43.357,-1.792,9.0
Donostia / San Sebastián Aeropuerto,4,18.1,0.0,43.357,-1.792,9.0
