estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
La Molina,1699,0.0,0.0,42.333,1.939,9.0
Sant Pau de Segúries,851,0.0,0.0,42.258,2.364,9.0
Campdevanol,731,0.0,0.0,42.223,2.167,8.0
Ripoll,675,0.0,0.0,42.191,2.196,8.0
Les Planes D'hostoles,337,0.0,0.0,42.053,2.551,9.0
Planoles,1151,0.1,0.0,42.317,2.103,9.0
Sant Hilari,810,0.3,0.0,41.881,2.513,9.0
La Vall de Bianya,350,1.3,0.0,42.211,2.472,9.0
Maçanet de Cabrenys,355,7.2,0.1,42.387,2.756,9.0
Porqueres,157,13.1,0.0,42.104,2.764,8.0
Girona Aeropuerto,143,13.7,0.0,41.911,2.763,9.0
Castell D'aro,14,24.1,0.0,41.808,3.031,9.0
Castelló D'empúries,2,24.9,0.1,42.225,3.093,8.0
Espolla 'les Alberes',100,25.4,0.4,42.39,3.006,8.0
La Bisbal (D'emporda 3),51,29.2,0.0,41.968,3.042,9.0
Espolla,100,33.2,0.9,42.39,3.006,9.0
Girona,76,34.4,0.1,41.972,2.819,9.0
Figueres,45,51.0,2.2,42.259,2.96,9.0
L'estartit,1,55.8,1.3,42.054,3.201,9.0
Blanes,45,63.3,2.7,41.677,2.805,9.0
Cabo de Creus,75,70.2,8.8,42.319,3.316,6.0
