estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Sierra Nevada 'radiotelescopio',2856,0.0,0.0,37.063,-3.387,6.0
Baza,785,3.7,0.0,37.506,-2.735,9.0
Lanjarón,708,3.9,0.0,36.923,-3.493,10.0
Granada Aeropuerto,560,9.1,0.0,37.19,-3.79,10.0
Dólar,1197,12.0,0.0,37.18,-2.986,10.0
Granada Base Aérea,687,16.9,0.0,37.137,-3.631,10.0
Salobreña,20,25.0,0.2,36.748,-3.579,10.0
Víznar,1258,32.1,2.8,37.237,-3.551,10.0
Loja,760,33.9,2.1,37.161,-4.153,9.0
Granada-Cartuja,775,35.5,0.7,37.19,-3.596,10.0
Válor,1020,41.0,4.3,37.005,-3.071,10.0
"Motril, Puerto",3,61.0,3.0,36.724,-3.529,7.0
Castell de Ferro,235,66.2,3.4,36.734,-3.38,9.0
