estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Aroche,267,2.0,0.0,37.98,-6.976,10.0
Almonte,5,4.1,0.1,36.989,-6.443,10.0
Cartaya,15,9.9,0.1,37.218,-7.084,10.0
Villarrasa,145,12.6,0.2,37.451,-6.637,10.0
El Granado,60,15.8,0.1,37.554,-7.52,10.0
Cala,618,16.9,0.2,37.974,-6.322,10.0
"Alosno, Tharsis",276,18.8,1.2,37.598,-7.119,10.0
"Moguer, el Arenosillo",41,21.9,0.2,37.098,-6.738,10.0
Valverde del Camino,280,23.0,1.2,37.575,-6.768,10.0
Alajar,572,30.4,2.6,37.869,-6.675,10.0
El Cerro de Andévalo,270,30.8,2.3,37.732,-6.942,10.0
El Campillo,415,31.0,2.1,37.677,-6.63,10.0
"Huelva, Ronda Este",18,33.2,0.2,37.278,-6.912,10.0
Ayamonte,3,34.6,0.3,37.195,-7.395,10.0
