estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
"Cerler, Cogulla",2374,0.0,0.0,42.555,0.543,7.0
"Astún, la Raca",2276,0.0,0.0,42.793,-0.505,5.0
"Torla-Ordesa, el Cebollar",1905,0.0,0.0,42.656,-0.124,7.0
Canfranc,1197,0.0,0.0,42.749,-0.516,10.0
Benasque,1120,0.0,0.0,42.599,0.521,10.0
"Biescas, Embalse de Búbal",1100,0.0,0.0,42.699,-0.319,10.0
Torla - Ordesa,1076,0.0,0.0,42.638,-0.112,9.0
Bielsa,992,0.0,0.0,42.63,0.225,10.0
Seira,825,0.0,0.0,42.477,0.434,10.0
"Valle de Hecho, Hecho",860,0.2,0.0,42.741,-0.751,10.0
"Formigal, Sarrios",1800,0.3,0.0,42.763,-0.393,6.0
Sabiñánigo,775,0.4,0.0,42.513,-0.356,10.0
"Panticosa, Petrosos",1850,0.9,0.0,42.704,-0.275,7.0
Jaca,823,1.3,0.0,42.579,-0.547,6.0
Sopeira,760,1.5,0.0,42.319,0.747,10.0
"Capella, Laguarres",600,4.0,0.0,42.201,0.466,10.0
"Aínsa-Sobrarbe, la Serreta",610,6.0,0.0,42.422,0.138,10.0
Aragüés del Puerto,1025,6.2,0.0,42.709,-0.673,10.0
Benabarre,765,6.4,0.0,42.113,0.48,10.0
"Bailo, Puyalto",722,7.8,0.0,42.514,-0.817,10.0
Barbastro,305,9.4,0.0,42.021,0.141,10.0
"Tamarite de Litera, la Melusa",218,9.5,0.0,41.781,0.377,10.0
Almudévar,390,9.8,0.1,42.029,-0.586,10.0
Sariñena,300,14.2,0.0,41.799,-0.161,10.0
"Huesca, Aeropuerto",546,18.4,0.2,42.084,-0.326,10.0
Lanaja,380,20.4,0.1,41.774,-0.333,10.0
Ballobar,178,26.1,0.0,41.619,0.188,10.0
Huesca,463,30.8,0.2,42.139,-0.395,10.0
Fraga,170,39.8,0.1,41.525,0.356,10.0
