estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
"Escorca, Son Torrella",842,0.7,0.1,39.793,2.788,10.0
"Escorca, Lluc",490,11.2,0.7,39.823,2.886,10.0
"Palma, Universitat",95,14.8,0.0,39.642,2.644,10.0
"Campos, Can Sion",40,18.9,0.3,39.406,3.064,10.0
La Puebla (Sa Canova),40,19.0,0.6,39.748,3.015,9.0
Sant Joan de Labritja,110,24.0,0.4,39.056,1.493,10.0
"Sierra de Alfabia, Bunyola",1030,26.9,1.7,39.735,2.713,9.0
"Ciutadella, Cala Galdana",43,27.5,0.6,39.945,3.957,10.0
"Calvià, Es Capdellà",50,27.8,0.5,39.551,2.466,10.0
Artà,110,28.0,0.7,39.689,3.351,10.0
Binissalem,105,29.2,0.6,39.678,2.874,10.0
"Muro, S'albufera",2,32.9,0.5,39.797,3.105,10.0
Sa Pobla,32,33.9,1.0,39.749,3.017,10.0
Petra,95,34.2,0.3,39.616,3.121,6.0
Santa María del Camí,121,36.5,0.9,39.652,2.8,10.0
Porreres,120,37.0,1.0,39.522,3.019,6.0
Manacor,100,37.0,0.9,39.557,3.218,10.0
Andratx - Sant Elm,52,39.7,1.4,39.579,2.369,9.0
"Campos, Salines Llevant",3,39.8,1.8,39.351,3.012,10.0
Sineu,120,40.0,1.1,39.643,3.002,10.0
"Palma de Mallorca, Aeropuerto",5,41.5,1.1,39.561,2.737,10.0
Son Servera,25,41.9,1.1,39.63,3.384,10.0
Sant Antoni de Portmany,32,46.2,1.4,38.963,1.321,9.0
Pollença,45,48.8,2.7,39.877,3.024,10.0
Porreres,149,49.6,1.0,39.506,3.006,5.0
"Menorca, Aeropuerto",91,51.4,1.3,39.855,4.216,10.0
Llucmajor,140,52.6,1.5,39.496,2.892,10.0
Port de Pollença,2,53.2,3.4,39.909,3.1,10.0
Eivissa,3,58.3,3.3,38.922,1.441,10.0
"Cabrera, Parque Nacional de Cabrera",165,58.7,8.3,39.136,2.937,6.0
Es Mercadal,80,59.8,1.8,39.991,4.086,10.0
Ciutadella,20,60.3,4.5,39.993,3.854,10.0
Santanyí,45,62.1,3.0,39.34,3.146,10.0
"Llucmajor, Radar",113,62.5,2.3,39.38,2.785,10.0
Artà-Colònia de Sant Pere,99,63.3,5.2,39.723,3.279,10.0
"Son Bonet, Aeropuerto",47,65.0,5.2,39.606,2.707,6.0
"Ibiza, Aeropuerto",6,65.6,4.3,38.876,1.384,10.0
Portocolom,17,68.0,6.0,39.414,3.272,10.0
"La Mola, Maó",78,68.1,7.0,39.876,4.324,10.0
Formentera,24,68.3,7.7,38.694,1.464,10.0
"Sóller, Puerto",5,71.0,13.0,39.796,2.691,7.0
Banyalbufar,60,74.5,12.8,39.689,2.513,10.0
Capdepera,57,77.8,21.7,39.717,3.478,10.0
"Palma, Puerto",3,79.6,20.1,39.554,2.625,10.0
