estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Alcalá la Real,908,17.7,0.4,37.498,-3.908,9.0
Andújar,202,29.4,0.4,38.023,-4.063,8.0
Santa Elena,770,29.9,1.7,38.344,-3.535,9.0
Torres,910,34.3,1.3,37.781,-3.564,9.0
Villarrodrigo,862,36.4,2.6,38.489,-2.638,7.0
Villanueva del Arzobispo,680,40.2,0.8,38.175,-2.998,8.0
Arroyo del Ojanco,580,41.6,1.2,38.315,-2.89,8.0
Baeza,771,42.6,2.7,37.997,-3.462,9.0
Cazorla,799,54.3,6.2,37.916,-3.004,9.0
Linares,515,55.6,7.1,38.151,-3.629,9.0
Bailén,345,56.8,5.1,38.093,-3.782,9.0
Jaén,580,57.9,9.1,37.777,-3.809,9.0
