estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Puerto de San Isidro,1510,0.0,0.0,43.062,-5.377,8.0
"Barrios de Luna, Miñera",1120,0.0,0.0,42.886,-5.871,9.0
Riaño,1090,0.0,0.0,42.958,-5.008,9.0
Lagunas de Somoza,1020,0.0,0.0,42.377,-6.197,7.0
"Quintana del Castillo, Villameca",995,0.0,0.0,42.648,-6.071,9.0
Villablino,958,0.0,0.0,42.929,-6.334,9.0
"Posada de Valdeón, Soto",953,0.0,0.0,43.145,-4.932,9.0
Bustillo del Páramo,850,0.0,0.0,42.466,-5.78,9.0
Vega de Espinareda,770,0.0,0.0,42.766,-6.674,9.0
Astorga,919,0.1,0.0,42.477,-6.074,9.0
Cubillas de Rueda,916,0.2,0.0,42.62,-5.193,9.0
Valencia de Don Juan,788,0.6,0.0,42.296,-5.505,9.0
"León, Virgen del Camino",916,0.7,0.0,42.588,-5.651,9.0
Ponferrada,532,1.0,0.0,42.564,-6.6,9.0
