estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Cap de Vaquèira,2467,0.0,0.0,42.692,0.974,7.0
Port Ainé,2410,0.0,0.0,42.41,1.215,6.0
Cap de Rec,1940,0.0,0.0,42.43,1.667,6.0
Sant Maurici (Llac),1907,0.0,0.0,42.581,1.008,8.0
Torre de Cabdella,1273,0.0,0.0,42.466,0.991,10.0
"Naut Aran, Arties",1161,0.0,0.0,42.7,0.877,9.0
Vall de Boí,1089,0.0,0.0,42.503,0.799,10.0
Martinet,1038,0.0,0.0,42.362,1.693,10.0
Esterri D'àneu,952,0.0,0.0,42.625,1.126,8.0
La Seu D'urgell,677,0.0,0.0,42.355,1.463,7.0
Tuixent,1196,0.1,0.0,42.23,1.569,10.0
Bossòst,722,0.2,0.0,42.776,0.69,10.0
Coll de Nargó,609,0.9,0.0,42.154,1.312,10.0
Torà,435,1.8,0.0,41.806,1.396,10.0
Llimiana,515,6.4,0.0,42.067,0.907,10.0
Talarn,807,6.6,0.0,42.205,0.865,10.0
Artesa de Segre,400,10.5,0.0,41.881,1.109,10.0
Os de Balaguer,520,11.7,0.2,41.873,0.756,10.0
Mollerussa,252,18.8,0.0,41.617,0.867,10.0
El Soleràs,392,20.8,0.2,41.414,0.678,10.0
Els Torms,495,22.6,0.6,41.394,0.735,9.0
La Pobla de Cérvoles,673,24.6,0.6,41.366,0.914,10.0
Tordera - Granyanella,463,25.0,0.2,41.681,1.223,10.0
Lleida,186,32.5,0.0,41.626,0.598,10.0
