estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Rascafría,1159,0.0,0.0,40.89,-3.888,9.0
Buitrago del Lozoya,1030,0.1,0.0,41.007,-3.614,9.0
Somosierra,1450,0.4,0.0,41.136,-3.581,8.0
Puerto de Navacerrada,1892,1.1,0.0,40.793,-4.011,9.0
Puerto Alto del León,1532,2.7,0.0,40.706,-4.142,9.0
Alcala de Henares,605,10.5,0.1,40.528,-3.29,8.0
Rozas de Puerto Real,890,10.9,0.0,40.313,-4.487,9.0
"Madrid, el Goloso",740,13.0,0.0,40.561,-3.712,9.0
Torrejón de Ardoz,607,13.4,0.0,40.489,-3.444,9.0
Pozuelo de Alarcón,665,14.0,0.2,40.448,-3.813,9.0
Alpedrete,924,17.3,0.0,40.66,-4.018,9.0
Aranjuez,540,18.0,0.1,40.067,-3.546,9.0
Tielmes,594,18.6,0.1,40.247,-3.312,9.0
Robledo de Chavela,770,20.0,0.2,40.429,-4.249,8.0
Madrid Aeropuerto,609,21.2,0.1,40.467,-3.556,9.0
Arganda del Rey,533,21.8,0.1,40.312,-3.498,9.0
Valdemorillo,884,25.8,0.3,40.497,-4.061,9.0
San Sebastián de los Reyes,672,26.3,0.1,40.55,-3.617,7.0
Colmenar Viejo,1004,29.3,0.6,40.696,-3.765,9.0
"Madrid, Cuatro Vientos",690,40.1,1.3,40.376,-3.786,9.0
Getafe,620,46.4,2.6,40.299,-3.722,9.0
"Madrid, Retiro",667,46.6,3.2,40.411,-3.678,9.0
