estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Cortes de la Frontera,315,14.3,0.0,36.544,-5.386,10.0
Fuente de Piedra,420,25.7,0.3,37.132,-4.742,10.0
Gaucín,594,30.6,0.6,36.519,-5.319,10.0
Antequera,408,34.6,2.7,37.029,-4.748,10.0
Ronda Instituto,760,36.9,2.9,36.75,-5.169,10.0
Torrox,3,43.8,1.4,36.726,-3.957,8.0
Alpandeire,676,47.0,3.0,36.633,-5.203,10.0
Antequera Ayuntamiento (Automática Thies),515,47.7,2.9,37.024,-4.562,9.0
Estepona,19,48.5,1.4,36.417,-5.155,10.0
Algarrobo,35,49.4,0.5,36.756,-4.044,10.0
"Marbella, Puerto",2,53.8,1.3,36.484,-4.953,10.0
Benahavís,392,54.4,2.9,36.544,-5.025,10.0
Manilva,140,55.2,1.2,36.378,-5.26,10.0
Álora,172,59.9,4.0,36.855,-4.697,9.0
Coín,230,61.0,2.4,36.658,-4.761,10.0
Marbella,2,62.0,8.6,36.483,-4.74,8.0
Fuengirola,8,62.3,4.3,36.539,-4.618,6.0
Nerja,169,65.4,2.3,36.763,-3.845,10.0
Vélez-Málaga,41,70.6,5.6,36.769,-4.094,5.0
Málaga Aeropuerto,7,72.1,6.4,36.666,-4.482,10.0
"Málaga, Centro Meteorológico",54,72.3,6.4,36.718,-4.482,10.0
Torremolinos,85,72.4,6.2,36.621,-4.515,10.0
Rincón de la Victoria,7,72.7,8.0,36.715,-4.286,10.0
Málaga,25,78.7,10.2,36.717,-4.42,9.0
