estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
"Caravaca de la Cruz, los Royos",985,3.0,0.0,37.926,-2.058,9.0
Caravaca de la Cruz,643,5.2,0.0,38.103,-1.877,9.0
Yecla,640,9.4,0.0,38.602,-1.16,9.0
Moratalla,955,10.6,0.6,38.268,-1.986,9.0
Jumilla,485,14.0,0.0,38.459,-1.335,9.0
"Lorca, Zarcilla de Ramos",646,14.4,0.0,37.845,-1.87,9.0
Bullas,690,23.6,0.4,38.049,-1.695,9.0
Abanilla,174,34.4,0.3,38.194,-1.034,9.0
Alhama de Murcia,157,38.0,0.2,37.862,-1.335,9.0
Mula,255,39.4,0.3,38.041,-1.449,9.0
Cieza,265,40.1,0.6,38.233,-1.381,9.0
Calasparra,350,40.3,0.2,38.234,-1.702,9.0
Molina de Segura,170,44.2,0.6,38.139,-1.159,9.0
Lorca,312,44.9,0.1,37.656,-1.687,9.0
Torre-Pacheco,50,52.7,2.1,37.739,-0.968,9.0
Archena,150,56.4,2.8,38.128,-1.306,9.0
"Alcantarilla, Base Aérea",75,57.3,2.0,37.958,-1.229,9.0
Cartagena,56,58.7,2.7,37.604,-1.023,9.0
Murcia Aeropuerto,205,59.1,0.9,37.807,-1.128,7.0
Puerto Lumbreras,445,61.8,2.1,37.568,-1.797,9.0
Fuente Álamo de Murcia,140,62.7,2.0,37.726,-1.167,9.0
Totana,281,65.0,2.0,37.759,-1.513,7.0
San Javier Aeropuerto,4,65.4,7.2,37.789,-0.803,9.0
San Javier Aeropuerto,4,67.2,8.4,37.778,-0.806,9.0
Murcia,62,71.1,5.4,38.002,-1.171,9.0
Mazarrón,66,72.2,6.6,37.588,-1.231,8.0
Águilas,32,77.3,11.1,37.417,-1.587,9.0
Cartagena,17,77.7,15.1,37.601,-0.988,9.0
