estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Isaba/Izaba,838,0.0,0.0,42.863,-0.925,10.0
"Esteribar, Embalse de Eugi",615,0.0,0.0,42.971,-1.517,10.0
Articutza (Automatica),305,0.0,0.0,43.212,-1.798,9.0
Oroz-Betelu/Orotz-Betelu,635,0.1,0.0,42.896,-1.3,10.0
Roncesvalles/Orreaga,947,0.2,0.0,43.008,-1.326,10.0
Navascués/Nabaskoze,612,0.3,0.0,42.718,-1.117,10.0
Areso,520,0.8,0.1,43.085,-1.951,10.0
Valcarlos/Luzaide,334,0.8,0.0,43.091,-1.301,10.0
Irurtzun,432,1.0,0.0,42.919,-1.835,10.0
"Pamplona, Aeropuerto",459,1.1,0.0,42.777,-1.65,10.0
Monreal/Elo,585,1.7,0.0,42.701,-1.496,10.0
"Aranguren, Ilundain",572,1.9,0.1,42.776,-1.532,10.0
"Baztan, Irurita",183,1.9,0.0,43.136,-1.543,10.0
Larraga,375,2.3,0.0,42.549,-1.858,10.0
Bera,54,3.3,0.0,43.279,-1.676,10.0
Cáseda,440,4.2,0.0,42.521,-1.366,10.0
Olite/Erriberri,390,4.2,0.0,42.489,-1.656,10.0
Monteagudo,410,4.4,0.0,41.959,-1.691,10.0
Pamplona,450,5.1,0.2,42.818,-1.638,9.0
Los Arcos,470,5.3,0.1,42.57,-2.184,10.0
"Bardenas Reales, Base Aérea",295,15.8,0.2,42.199,-1.475,10.0
Tudela,297,19.8,0.2,42.056,-1.609,10.0
