estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Muiños,730,0.0,0.0,41.934,-7.989,10.0
Xinzo de Limia,616,0.0,0.0,42.079,-7.734,10.0
Beariz,610,0.0,0.0,42.468,-8.278,10.0
Verín,380,0.0,0.0,41.927,-7.422,10.0
Chandrexa de Queixa,990,0.1,0.0,42.26,-7.384,10.0
O Carballiño,400,0.1,0.0,42.421,-8.093,10.0
Allariz,492,0.2,0.0,42.183,-7.796,10.0
A Pobra de Trives,840,0.4,0.0,42.339,-7.282,10.0
Ribadavia,112,1.8,0.0,42.3,-8.129,10.0
A Gudiña,910,3.6,0.0,42.027,-7.183,10.0
Ourense,146,4.7,0.0,42.325,-7.86,10.0
O Barco de Valdeorras,315,5.3,0.0,42.416,-6.993,10.0
