fecha,total,tropicales,ecuatoriales,peor,peor_prov,peor_min,mejor,mejor_prov,mejor_min
2026-05-13,786,0,0,"Las Palmas de Gran Canaria, Pl. de la Feria",Las Palmas,18.4,Cap de Vaquèira,Lleida,-4.8
2026-05-14,795,0,0,San Sebastián de la Gomera,Santa Cruz de Tenerife,18.8,Cap de Vaquèira,Lleida,-5.6
2026-05-15,793,0,0,Pájara,Las Palmas,18.7,Cap de Vaquèira,Lleida,-7.1
2026-05-16,797,0,0,Pájara,Las Palmas,18.5,Port Ainé,Lleida,-8.6
2026-05-17,794,0,0,"Maspalomas, C. Insular Turismo",Las Palmas,18.7,Cap de Vaquèira,Lleida,-3.2
2026-05-18,793,0,0,Hierro Aeropuerto,Santa Cruz de Tenerife,18.3,Sierra Nevada 'radiotelescopio',Granada,-1.9
2026-05-19,795,0,0,"Frontera, Sabinosa",Santa Cruz de Tenerife,18.9,Puerto del Pico,Ávila,0.0
2026-05-20,790,0,0,Valverde del Camino,Huelva,18.9,"Sanabria, Robleda-Cervantes",Zamora,1.0
2026-05-21,796,5,0,Cabo de Gata,Almería,23.2,Puerto del Pico,Ávila,4.0
2026-05-22,800,12,0,Cabo de Gata,Almería,23.9,Puerto del Pico,Ávila,4.6
2026-05-23,797,17,0,Cabo de Gata,Almería,23.0,Puerto del Pico,Ávila,3.8
2026-05-24,795,27,0,Las Cabezas de San Juan,Sevilla,23.4,Villena,Alicante,5.7
2026-05-25,786,58,1,Irun,Gipuzkoa,25.8,Salvacañete,Cuenca,3.2
2026-05-26,787,53,2,"San Bartolome Tirajana, Lomo Pedro Alfonso",Las Palmas,27.0,Cedrillas,Teruel,3.4
2026-05-27,791,30,0,Tejeda,Las Palmas,24.1,Villadepera,Zamora,0.0
2026-05-28,793,27,1,Cabo de Creus,Girona,26.2,Nerpio,Albacete,5.1
2026-05-29,791,34,0,Cabo de Creus,Girona,22.4,Puerto del Pico,Ávila,5.6
2026-05-30,799,58,0,Castuera,Badajoz,23.0,Puerto de Leitariegos,Asturias,6.7
2026-05-31,797,62,0,Alajar,Huelva,23.7,Sobrado,A Coruña,5.1
2026-06-01,791,72,1,Osuna,Sevilla,25.2,Reinosa,Cantabria,4.0
2026-06-02,793,74,0,Benahavís,Málaga,22.6,Astún- la Raca,Huesca,-0.3
2026-06-03,798,59,0,San Javier Aeropuerto,Murcia,22.9,Cap de Vaquèira,Lleida,-0.7
2026-06-04,798,38,0,Alicante-Elche Aeropuerto,Alicante,21.6,Cap de Vaquèira,Lleida,-0.2
2026-06-05,798,27,0,Rincón de la Victoria,Málaga,21.9,Astún- la Raca,Huesca,-1.4
2026-06-06,798,39,0,Cabo de Gata,Almería,22.3,Puerto de San Isidro,León,2.4
2026-06-07,797,50,0,Melilla,Melilla,22.2,Beariz,Ourense,3.4
2026-06-08,793,26,0,Almería Aeropuerto,Almería,21.6,Navasfrías,Salamanca,4.1
2026-06-09,792,46,0,Osuna,Sevilla,22.3,Cap de Vaquèira,Lleida,2.1
2026-06-10,793,65,0,Almería Aeropuerto,Almería,23.1,"Coriscao, Parque Nacional Picos de Europa",Cantabria,0.0
2026-06-11,793,70,0,Cádiz,Cádiz,23.7,Cap de Vaquèira,Lleida,-1.3
2026-06-12,796,97,0,Cañaveral,Cáceres,24.2,Puerto del Pico,Ávila,3.6
2026-06-13,797,89,0,Valverde del Fresno,Cáceres,24.5,"Valderredible, Cubillo de Ebro",Cantabria,5.1
2026-06-14,790,42,0,Cabo de Creus,Girona,22.7,Sierra Nevada 'radiotelescopio',Granada,4.8
2026-06-15,786,62,0,"Barcelona, Fabra",Barcelona,23.3,Sierra Nevada 'radiotelescopio',Granada,5.1
2026-06-16,786,77,0,Cabo de Creus,Girona,24.4,Cap de Rec,Lleida,5.8
2026-06-17,792,146,1,Cabo de Gata,Almería,25.4,"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,7.9
2026-06-18,790,182,0,Cabo de Gata,Almería,24.8,Puerto del Pico,Ávila,7.0
2026-06-19,782,181,0,Benidorm,Alicante,23.6,"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,6.8
2026-06-20,787,272,6,Cañaveral,Cáceres,26.5,"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,6.8
2026-06-21,773,369,31,Almería Aeropuerto,Almería,30.8,"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,8.4
2026-06-22,762,379,29,Cabo de Gata,Almería,31.2,"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,7.8
2026-06-23,768,377,25,Almería Aeropuerto,Almería,29.1,Salvacañete,Cuenca,10.0
2026-06-24,770,319,13,Cabo de Gata,Almería,26.9,"Vallehermoso, Alto Igualero",Santa Cruz de Tenerife,9.2
2026-06-25,780,190,1,Capdepera,Illes Balears,25.0,"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,7.5
2026-06-26,794,158,0,Capdepera,Illes Balears,24.7,Puerto del Pico,Ávila,5.2
2026-06-27,794,217,0,València,Valencia,24.9,Puerto del Pico,Ávila,6.9
2026-06-28,783,238,3,"Barcelona, Fabra",Barcelona,25.5,Puerto del Pico,Ávila,7.5
2026-06-29,781,224,9,Figueres,Girona,26.5,Puerto del Pico,Ávila,6.6
2026-06-30,789,318,14,"San Bartolome Tirajana, Cuevas del Pinar",Las Palmas,28.6,Port Ainé,Lleida,8.9
2026-07-01,787,314,14,Serradilla,Cáceres,26.8,Port Ainé,Lleida,4.5
2026-07-02,778,269,20,Osuna,Sevilla,27.0,Port Ainé,Lleida,3.7
2026-07-03,787,274,25,"Rota, Base Naval",Cádiz,27.2,Reinosa,Cantabria,6.1
2026-07-04,794,266,17,Castuera,Badajoz,27.6,Palacios de la Sierra,Burgos,5.9
2026-07-05,791,303,24,Castuera,Badajoz,27.0,"Valderredible, Cubillo de Ebro",Cantabria,7.0
2026-07-06,788,329,26,Tejeda,Las Palmas,29.5,Esterri D'àneu,Lleida,7.1
2026-07-07,778,330,21,"San Bartolome Tirajana, Lomo Pedro Alfonso",Las Palmas,30.3,Beariz,Ourense,8.1
2026-07-08,780,310,22,Tejeda,Las Palmas,29.1,Puerto del Pico,Ávila,7.6
2026-07-09,773,303,12,"Barcelona, Port Olímpic",Barcelona,26.8,Puerto del Pico,Ávila,7.2
2026-07-10,790,277,7,Banyalbufar,Illes Balears,26.0,"Pradollano, Parque Nacional Sierra Nevada",Granada,6.8
2026-07-11,798,216,4,Capdepera,Illes Balears,25.4,Puerto del Pico,Ávila,5.8
2026-07-12,790,279,16,Formentera,Illes Balears,26.3,"La Orotava, Cañadas Teide",Santa Cruz de Tenerife,6.5
2026-07-13,791,240,19,"Palma, Puerto",Illes Balears,25.9,"Sanabria, Robleda-Cervantes",Zamora,6.8
2026-07-14,796,249,21,Capdepera,Illes Balears,26.3,Puerto del Pico,Ávila,5.0
2026-07-15,787,336,39,"Barcelona, Port Olímpic",Barcelona,26.7,Puerto del Pico,Ávila,7.2
2026-07-16,770,371,55,Alcoi/Alcoy,Alicante,27.6,Puerto del Pico,Ávila,7.3
2026-07-17,802,288,56,Melilla,Melilla,28.8,Puerto del Pico,Ávila,5.0
2026-07-18,799,323,59,Cabo de Creus,Girona,27.4,Puerto del Pico,Ávila,3.3
2026-07-19,797,307,44,Cabo de Creus,Girona,28.6,Puerto del Pico,Ávila,4.9
2026-07-20,786,330,69,Válor,Granada,27.3,Puerto del Pico,Ávila,5.4
2026-07-21,795,354,63,Castelló - Almassora,Castellón,27.4,Puerto del Pico,Ávila,5.6
2026-07-22,802,391,55,Víznar,Granada,27.8,Bañobárez,Salamanca,7.9
2026-07-23,803,370,70,Cartagena,Murcia,28.2,Cuéllar,Segovia,6.6
2026-07-24,813,337,82,Coín,Málaga,28.5,Alto Campoo,Cantabria,1.9
2026-07-25,815,201,50,Portocolom,Illes Balears,27.5,Alto Campoo,Cantabria,3.2
2026-07-26,814,155,3,Cartagena,Murcia,25.9,Cap de Vaquèira,Lleida,3.4
2026-07-27,810,182,2,Cartagena/Salinas Cabo Palos,Murcia,25.2,Puerto del Pico,Ávila,5.0
2026-07-28,805,256,5,Osuna,Sevilla,26.7,Puerto del Pico,Ávila,6.7
2026-07-29,808,347,6,"San Bartolome Tirajana, Cuevas del Pinar",Las Palmas,26.2,Sobrado,A Coruña,7.8
2026-07-30,798,358,17,"San Bartolome Tirajana, Lomo Pedro Alfonso",Las Palmas,29.9,Alto Campoo,Cantabria,6.6
2026-07-31,813,382,18,Tejeda,Las Palmas,30.0,"Sanabria, Robleda-Cervantes",Zamora,5.2
2026-08-01,808,382,45,Tejeda,Las Palmas,29.6,"Sanabria, Robleda-Cervantes",Zamora,7.8
2026-08-02,805,346,47,Agüimes,Las Palmas,31.5,Puerto del Pico,Ávila,6.9
2026-08-03,803,354,60,"San Bartolome Tirajana, las Tirajanas",Las Palmas,31.6,Port Ainé,Lleida,7.8
2026-08-04,806,268,41,Agaete - Suerte Alta,Las Palmas,31.2,Puerto del Pico,Ávila,7.8
2026-08-05,800,312,55,"San Bartolome Tirajana, Lomo Pedro Alfonso",Las Palmas,30.6,Puerto del Pico,Ávila,8.0
2026-08-06,805,344,46,"El Pinar, la Dehesa",Santa Cruz de Tenerife,28.2,Port Ainé,Lleida,8.8
2026-08-07,802,329,33,Capdepera,Illes Balears,27.4,Puerto del Pico,Ávila,8.8
2026-08-08,791,385,34,Agüimes,Las Palmas,29.3,Port Ainé,Lleida,8.5
2026-08-09,800,368,40,Capdepera,Illes Balears,27.8,"Sanabria, Robleda-Cervantes",Zamora,5.6
2026-08-10,804,292,50,Banyalbufar,Illes Balears,28.2,Puerto del Pico,Ávila,4.8
2026-08-11,801,252,40,Capdepera,Illes Balears,28.2,Puerto del Pico,Ávila,6.4
2026-08-12,805,381,52,Capdepera,Illes Balears,27.7,Puerto del Pico,Ávila,6.4
