estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Rodeiro-Vilamaior,645,0.0,0.0,42.711,-7.954,9.0
Lalin-Cristimil,463,0.0,0.0,42.666,-8.193,9.0
A Estrada,269,0.2,0.0,42.694,-8.502,9.0
"Ponteareas, Canedo",90,0.6,0.0,42.182,-8.493,9.0
Silleda,435,0.9,0.0,42.701,-8.258,9.0
A Lama,395,1.0,0.0,42.407,-8.451,9.0
Pontevedra,113,1.2,0.0,42.438,-8.616,9.0
A Cañiza,560,1.3,0.0,42.218,-8.281,9.0
Vilagarcía de Arousa,32,1.3,0.0,42.585,-8.775,9.0
Vilagarcia de Arousa,36,2.0,0.0,42.582,-8.77,7.0
Vigo Aeropuerto,255,2.3,0.0,42.239,-8.624,9.0
Vigo,120,3.6,0.4,42.231,-8.724,9.0
O Rosal,55,3.7,0.1,41.944,-8.848,9.0
