estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Navasfrías,880,0.0,0.0,40.297,-6.813,9.0
Salamanca Aeropuerto,790,0.0,0.0,40.959,-5.498,9.0
Pedrosillo de los Aires,865,0.1,0.0,40.676,-5.643,9.0
Barbadillo,817,0.1,0.0,40.904,-5.78,9.0
El Bodón Base Aérea,805,0.3,0.0,40.485,-6.577,9.0
"La Covatilla, Estación de Esquí",1960,0.4,0.0,40.355,-5.69,8.0
Boadilla Fuente San Esteban,785,0.5,0.0,40.786,-6.203,8.0
Pedraza de Alba,897,0.8,0.0,40.732,-5.366,9.0
Bañobárez,748,0.8,0.0,40.851,-6.609,9.0
Saelices el Chico,680,1.0,0.0,40.635,-6.6,9.0
Vitigudino,769,1.6,0.0,41.011,-6.438,9.0
Salamanca,775,2.3,0.0,40.958,-5.662,9.0
El Maíllo,1027,3.1,0.1,40.569,-6.224,9.0
Villarino de los Aires,690,3.6,0.0,41.263,-6.462,9.0
