estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
"La Póveda de Soria, Barriomartín",1260,0.0,0.0,41.996,-2.494,9.0
"Vinuesa, Quintanarejo",1197,0.0,0.0,41.968,-2.783,9.0
Lubia,1100,0.0,0.0,41.601,-2.507,9.0
San Pedro Manrique,1096,0.0,0.0,42.026,-2.231,9.0
Morón de Almazán,978,0.0,0.0,41.419,-2.42,9.0
Ucero,960,0.0,0.0,41.722,-3.047,9.0
Soria,1081,0.1,0.0,41.775,-2.483,9.0
Almazul,1000,0.1,0.0,41.575,-2.14,9.0
Burgo de Osma,932,0.4,0.0,41.589,-3.087,9.0
Ólvega,1039,0.7,0.0,41.776,-1.977,9.0
La Riba de Escalote,1042,2.1,0.0,41.35,-2.783,9.0
Arcos de Jalón,863,2.4,0.0,41.216,-2.293,9.0
Liceras,1150,3.0,0.0,41.374,-3.251,9.0
