estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Llorac,657,0.3,0.0,41.557,1.309,9.0
Alforja,406,6.4,0.0,41.214,0.963,9.0
Horta de Sant Joan,495,15.9,0.1,40.953,0.312,9.0
Valls,233,21.0,0.0,41.293,1.261,9.0
La Pobla de Massaluca,370,33.2,0.6,41.177,0.353,9.0
Cabacés,363,37.7,1.8,41.249,0.735,9.0
Rasquera,112,38.2,0.2,41.005,0.614,8.0
Reus Aeropuerto,71,47.3,0.6,41.145,1.164,9.0
Tarragona,55,58.0,1.3,41.124,1.249,9.0
Estación de Tortosa (Roquetes),50,59.2,1.3,40.82,0.493,9.0
Reus (Centre Lectura),118,67.8,7.7,41.154,1.109,9.0
