estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Cedrillas,1380,0.0,0.0,40.431,-0.849,10.0
Bello,1006,0.3,0.0,40.921,-1.494,10.0
Santa Eulalia del Campo,1000,0.5,0.0,40.567,-1.321,10.0
Calamocha,884,0.8,0.0,40.926,-1.293,10.0
Albarracín,1130,0.9,0.0,40.42,-1.441,10.0
Teruel,902,0.9,0.0,40.351,-1.124,10.0
Mosqueruela,1515,1.1,0.0,40.363,-0.454,10.0
Valderrobres,483,1.8,0.0,40.873,0.146,10.0
Fonfría,1255,2.8,0.0,40.995,-1.087,10.0
Montalbán,895,5.3,0.1,40.829,-0.793,10.0
Jabaloyas,1430,6.1,0.1,40.236,-1.412,10.0
Muniesa,800,7.4,0.2,41.031,-0.806,10.0
Alcañiz,334,10.8,0.0,41.058,-0.142,10.0
"Andorra, Horcallana",762,16.9,0.4,40.974,-0.408,10.0
Castellote,755,21.9,0.8,40.798,-0.315,10.0
Calanda,466,25.9,0.7,40.947,-0.238,10.0
Hijar,305,27.1,0.3,41.172,-0.442,10.0
