estacion,altitud_m,noches_tropicales_anio,noches_ecuatoriales_anio,latitud,longitud,anios_datos
Oropesa,345,8.2,0.3,39.993,-5.114,9.0
Madridejos,690,12.9,0.0,39.492,-3.528,9.0
Tembleque,635,12.9,0.0,39.696,-3.506,9.0
Ocaña,733,17.3,0.0,39.935,-3.496,9.0
Talavera de la Reina,372,21.1,0.7,39.959,-4.864,9.0
San Pablo de los Montes,917,29.0,1.5,39.547,-4.351,6.0
Navahermosa,750,29.9,1.7,39.631,-4.477,9.0
Mora,717,36.8,0.8,39.687,-3.781,9.0
Castillo de Bayuela,560,42.7,4.1,40.108,-4.681,9.0
Toledo,513,44.2,0.8,39.885,-4.045,9.0
